"id_rok","I","II","III","IV","V","VI","VII","VIII","IX","X","XI","XII"
"2019","6368,00","6378,00","6394,00","6392,00","6380,00","6394,00","6397,00","6390,00","6386,00","6383,00","6395,00","6396,00"
"2020","6441,00","6446,00","6412,00","6259,00","6174,00","6186,00","6252,00","6295,00","6312,00","6318,00","6319,00","6329,00"
"2021","6314,00","6334,00","6330,00","6317,00","6338,00","6359,00","6362,00","6352,00","6347,00","6351,00","6364,00","6362,00"
"2022","6460,00","6475,00","6485,00","6497,00","6492,00","6497,00","6508,00","6503,00","6494,00","6501,00","6507,00","6505,00"
"2023","6530,00","6526,00","6517,00","6524,00","6518,00","6513,00","6514,00","6502,00","6496,00","6494,00","6494,00","6495,00"
"2024","6516,00","6511,00","6501,00","6499,00","6488,00","6485,00","6489,00","6470,00","6462,00","6458,00","6463,00","6454,00"
"2025","6455,00","6452,00","","","","","","","","","",""
