"SeasonID","League","team","Minuta","Gole"
2002,"premier-league","Newcastle","81-90",12
2002,"premier-league","Southampton","0-10",3
2002,"premier-league","Southampton","11-20",1
2002,"premier-league","Southampton","21-30",2
2002,"premier-league","Southampton","31-40",7
2002,"premier-league","Southampton","41-50",7
2002,"premier-league","Southampton","51-60",7
2002,"premier-league","Southampton","61-70",1
2002,"premier-league","Southampton","71-80",4
2002,"premier-league","Southampton","81-90",10
2002,"premier-league","Sunderland","11-20",2
2002,"premier-league","Sunderland","21-30",1
2002,"premier-league","Sunderland","31-40",3
2002,"premier-league","Sunderland","41-50",2
2002,"premier-league","Sunderland","51-60",3
2002,"premier-league","Sunderland","61-70",5
2002,"premier-league","Sunderland","71-80",1
2002,"premier-league","Sunderland","81-90",3
2002,"premier-league","Tottenham","0-10",5
2002,"premier-league","Tottenham","11-20",5
2002,"premier-league","Tottenham","21-30",2
2002,"premier-league","Tottenham","31-40",5
2002,"premier-league","Tottenham","41-50",7
2002,"premier-league","Tottenham","51-60",3
2002,"premier-league","Tottenham","61-70",7
2002,"premier-league","Tottenham","71-80",3
2002,"premier-league","Tottenham","81-90",13
2002,"premier-league","West Brom","0-10",2
2002,"premier-league","West Brom","11-20",3
2002,"premier-league","West Brom","21-30",5
2002,"premier-league","West Brom","31-40",2
2002,"premier-league","West Brom","41-50",3
2002,"premier-league","West Brom","51-60",3
2002,"premier-league","West Brom","61-70",2
2002,"premier-league","West Brom","71-80",5
2002,"premier-league","West Brom","81-90",4
2002,"premier-league","West Ham","11-20",4
2002,"premier-league","West Ham","21-30",3
2002,"premier-league","West Ham","31-40",3
2002,"premier-league","West Ham","41-50",7
2002,"premier-league","West Ham","51-60",2
2002,"premier-league","West Ham","61-70",7
2002,"premier-league","West Ham","71-80",5
2002,"premier-league","West Ham","81-90",8
2003,"bundesliga","1. FC Koeln","21-30",1
2003,"bundesliga","1. FC Koeln","31-40",6
2003,"bundesliga","1. FC Koeln","41-50",5
2003,"bundesliga","1. FC Koeln","51-60",10
2003,"bundesliga","1. FC Koeln","61-70",2
2003,"bundesliga","1. FC Koeln","71-80",4
2003,"bundesliga","1. FC Koeln","81-90",3
2003,"bundesliga","B. Moenchengladbach","0-10",4
2003,"bundesliga","B. Moenchengladbach","11-20",4
2003,"bundesliga","B. Moenchengladbach","21-30",4
2003,"bundesliga","B. Moenchengladbach","31-40",1
2003,"bundesliga","B. Moenchengladbach","41-50",3
2003,"bundesliga","B. Moenchengladbach","51-60",5
2003,"bundesliga","B. Moenchengladbach","61-70",5
2003,"bundesliga","B. Moenchengladbach","71-80",4
2003,"bundesliga","B. Moenchengladbach","81-90",9
2003,"bundesliga","Bayer Leverkusen","0-10",7
2003,"bundesliga","Bayer Leverkusen","11-20",5
2003,"bundesliga","Bayer Leverkusen","21-30",9
2003,"bundesliga","Bayer Leverkusen","31-40",7
2003,"bundesliga","Bayer Leverkusen","41-50",5
2003,"bundesliga","Bayer Leverkusen","51-60",11
2003,"bundesliga","Bayer Leverkusen","61-70",9
2003,"bundesliga","Bayer Leverkusen","71-80",14
2003,"bundesliga","Bayer Leverkusen","81-90",4
2003,"bundesliga","Bayern Monachium","0-10",8
2003,"bundesliga","Bayern Monachium","11-20",7
2003,"bundesliga","Bayern Monachium","21-30",8
2003,"bundesliga","Bayern Monachium","31-40",5
2003,"bundesliga","Bayern Monachium","41-50",10
2003,"bundesliga","Bayern Monachium","51-60",4
2003,"bundesliga","Bayern Monachium","61-70",7
2003,"bundesliga","Bayern Monachium","71-80",13
2003,"bundesliga","Bayern Monachium","81-90",8
2003,"bundesliga","Bochum","0-10",4
2003,"bundesliga","Bochum","11-20",4
2003,"bundesliga","Bochum","21-30",7
2003,"bundesliga","Bochum","31-40",5
2003,"bundesliga","Bochum","41-50",7
2003,"bundesliga","Bochum","51-60",9
2003,"bundesliga","Bochum","61-70",5
2003,"bundesliga","Bochum","71-80",7
2003,"bundesliga","Bochum","81-90",7
2003,"bundesliga","Borussia Dortmund","0-10",3
2003,"bundesliga","Borussia Dortmund","11-20",5
