wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	3	Three	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
aco	Acoma	1	None	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
ain	Ainu	1	None	43.0	143.0	Ainu	Ainu	Nominal Categories
agw	Alagwa	2	Two	-5.5	35.75	Southern Cushitic	Afro-Asiatic	Nominal Categories
ala	Alamblak	2	Two	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
ale	Aleut	1	None	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
ame	Amele	1	None	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	2	Two	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
apu	Apurinã	2	Two	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	1	None	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	2	Two	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	2	Two	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
asy	Arabic (Syrian)	2	Two	34.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
arp	Arapesh (Mountain)	5	Five or more	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
abo	Arbore	2	Two	5.0	36.75	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
arc	Archi	4	Four	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
arm	Armenian (Eastern)	1	None	40.0	45.0	Armenian	Indo-European	Nominal Categories
asm	Asmat	1	None	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
awp	Awa Pit	1	None	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
bab	Babungo	5	Five or more	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Nominal Categories
bag	Bagirmi	1	None	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
brs	Barasano	3	Three	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bsq	Basque	1	None	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	1	None	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baw	Bawm	1	None	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bys	Bayso	2	Two	6.25	37.75	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
bej	Beja	2	Two	18.0	36.0	Beja	Afro-Asiatic	Nominal Categories
bma	Berber (Middle Atlas)	2	Two	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
bbw	Bininj Gun-Wok	4	Four	-12.5	133.75	Marne	Gunwinyguan	Nominal Categories
brh	Brahui	1	None	28.5	67.0	Dravidian	Dravidian	Nominal Categories
brm	Burmese	1	None	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	4	Four	36.5	74.5	Burushaski	Burushaski	Nominal Categories
cah	Cahuilla	1	None	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
cax	Campa (Axininca)	2	Two	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Nominal Categories
cnl	Canela	1	None	-7.0	-45.0	Je Setentrional	Macro-Ge	Nominal Categories
cnt	Cantonese	1	None	23.0	113.0	Chinese	Sino-Tibetan	Nominal Categories
car	Carib	1	None	5.5	-56.0	Cariban	Cariban	Nominal Categories
cyv	Cayuvava	1	None	-13.5	-65.5	Cayuvava	Cayuvava	Nominal Categories
cha	Chamorro	1	None	13.45	144.75	Chamorro	Austronesian	Nominal Categories
cic	Chichewa	5	Five or more	-14.0	34.0	Bantu	Niger-Congo	Nominal Categories
chi	Chimariko	1	None	41.0	-123.0	Chimariko	Hokan	Nominal Categories
cle	Chinantec (Lealao)	2	Two	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Nominal Categories
chk	Chukchi	1	None	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
chv	Chuvash	1	None	55.5	47.5	Turkic	Altaic	Nominal Categories
ccp	Cocopa	1	None	32.3333333333	-115.0	Yuman	Hokan	Nominal Categories
cmn	Comanche	1	None	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
coo	Coos (Hanis)	1	None	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cre	Cree (Plains)	2	Two	54.0	-110.0	Algonquian	Algic	Nominal Categories
dag	Daga	1	None	-10.0	149.333333333	Dagan	Trans-New Guinea	Nominal Categories
dni	Dani (Lower Grand Valley)	1	None	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Nominal Categories
def	Defaka	3	Three	4.58333333333	7.5	Ijoid	Ijoid	Nominal Categories
dio	Diola-Fogny	5	Five or more	13.0	-16.25	Jola	Niger-Congo	Nominal Categories
diy	Diyari	2	Two	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
diz	Dizi	2	Two	6.16666666667	36.5	Dizoid	Afro-Asiatic	Nominal Categories
