wals code	name	value	description	latitude	longitude	genus	family	area
aln	Alune	2	Plural suffix	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Nominal Categories
aly	Alyawarra	9	No plural	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
amn	Amanab	9	No plural	-3.58333333333	141.25	Border	Border	Nominal Categories
aml	Ambae (Lolovoli Northeast)	7	Plural word	-15.4166666667	167.883333333	Oceanic	Austronesian	Nominal Categories
amq	Ambai	8	Plural clitic	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Nominal Categories
ame	Amele	6	Mixed morphological plural	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	2	Plural suffix	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
amo	Amo	1	Plural prefix	10.3333333333	8.66666666667	Central Kainji	Niger-Congo	Nominal Categories
amx	Anamuxra	2	Plural suffix	-4.66666666667	145.0	Josephstaal	Trans-New Guinea	Nominal Categories
anj	Anejom	1	Plural prefix	-20.2	169.8	Oceanic	Austronesian	Nominal Categories
agm	Angami	8	Plural clitic	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	Nominal Categories
anc	Angas	7	Plural word	9.5	9.5	West Chadic	Afro-Asiatic	Nominal Categories
agt	Anguthimri	2	Plural suffix	-12.3333333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
ann	Anindilyakwa	1	Plural prefix	-14.0	136.5	Anindilyakwa	Gunwinyguan	Nominal Categories
anu	Anufo	8	Plural clitic	10.0833333333	0.25	Tano	Niger-Congo	Nominal Categories
ayi	Anyi	1	Plural prefix	7.0	-3.5	Tano	Niger-Congo	Nominal Categories
any	Anywa	2	Plural suffix	8.0	33.5	Western Nilotic	Eastern Sudanic	Nominal Categories
ao	Ao	2	Plural suffix	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Nominal Categories
apl	Apalaí	7	Plural word	0.0	-54.0	Cariban	Cariban	Nominal Categories
apt	Apatani	7	Plural word	27.5	93.75	Tani	Sino-Tibetan	Nominal Categories
api	Apinayé	7	Plural word	-5.5	-48.0	Je Setentrional	Macro-Ge	Nominal Categories
apu	Apurinã	2	Plural suffix	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	2	Plural suffix	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	6	Mixed morphological plural	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	6	Mixed morphological plural	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
arq	Arabic (Iraqi)	6	Mixed morphological plural	33.0	44.0	Semitic	Afro-Asiatic	Nominal Categories
arj	Arabic (Kuwaiti)	6	Mixed morphological plural	29.5	47.5	Semitic	Afro-Asiatic	Nominal Categories
amr	Arabic (Moroccan)	6	Mixed morphological plural	34.0	-6.0	Semitic	Afro-Asiatic	Nominal Categories
asy	Arabic (Syrian)	6	Mixed morphological plural	34.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	7	Plural word	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Nominal Categories
arp	Arapesh (Mountain)	2	Plural suffix	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arc	Archi	2	Plural suffix	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
arm	Armenian (Eastern)	2	Plural suffix	40.0	45.0	Armenian	Indo-European	Nominal Categories
arw	Armenian (Western)	2	Plural suffix	38.5	43.5	Armenian	Indo-European	Nominal Categories
alk	Arop-Lokep	7	Plural word	-5.38333333333	147.05	Oceanic	Austronesian	Nominal Categories
aro	Arosi	7	Plural word	-10.25	161.333333333	Oceanic	Austronesian	Nominal Categories
amp	Arrernte (Mparntwe)	9	No plural	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
awe	Arrernte (Western)	2	Plural suffix	-24.0	132.5	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
asm	Asmat	2	Plural suffix	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
ath	Athpare	2	Plural suffix	27.0	87.3333333333	Himalayish	Sino-Tibetan	Nominal Categories
ava	Avar	2	Plural suffix	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
avk	Avikam	7	Plural word	5.16666666667	-5.5	Avikam-Alladian	Niger-Congo	Nominal Categories
avo	Avokaya	2	Plural suffix	4.66666666667	30.0	Moru-Ma'di	Central Sudanic	Nominal Categories
awa	Awa	2	Plural suffix	-6.66666666667	145.75	Gauwa	Trans-New Guinea	Nominal Categories
awp	Awa Pit	2	Plural suffix	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
awt	Awtuw	2	Plural suffix	-3.58333333333	142.0	Ram	Sepik	Nominal Categories
aym	Aymara (Central)	2	Plural suffix	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
azi	Azari (Iranian)	2	Plural suffix	37.5	47.0	Turkic	Altaic	Nominal Categories
aze	Azerbaijani	2	Plural suffix	40.5	48.5	Turkic	Altaic	Nominal Categories
bdm	Badimaya	2	Plural suffix	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
bfi	Bafia	1	Plural prefix	5.0	11.1666666667	Bantu	Niger-Congo	Nominal Categories
bag	Bagirmi	8	Plural clitic	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bgr	Bagiro	7	Plural word	4.33333333333	20.5833333333	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bai	Bai	7	Plural word	26.0	100.0	Macro-Bai	Sino-Tibetan	Nominal Categories
bwc	Bajau (West Coast)	7	Plural word	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Nominal Categories
bak	Baka (in Cameroon)	8	Plural clitic	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Nominal Categories
bka	Baka (in South Sudan)	8	Plural clitic	4.83333333333	29.25	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bku	Bakueri	1	Plural prefix	4.25	9.25	Bantu	Niger-Congo	Nominal Categories
blg	Balangao	1	Plural prefix	17.1666666667	121.166666667	Northern Luzon	Austronesian	Nominal Categories
bvi	Bali-Vitu	7	Plural word	-4.9	149.116666667	Oceanic	Austronesian	Nominal Categories
blt	Balti	2	Plural suffix	35.0	76.0	Bodic	Sino-Tibetan	Nominal Categories
bam	Bambara	2	Plural suffix	12.5	-7.5	Western Mande	Mande	Nominal Categories
bnk	Bankon	1	Plural prefix	4.41666666667	9.58333333333	Bantu	Niger-Congo	Nominal Categories
bnn	Banoni	7	Plural word	-6.41666666667	155.25	Oceanic	Austronesian	Nominal Categories
bao	Bao'an	8	Plural clitic	35.75	102.833333333333	Mongolic	Altaic	Nominal Categories
baa	Barai	2	Plural suffix	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Nominal Categories
bbu	Barambu	1	Plural prefix	3.5	27.0	Ubangi	Niger-Congo	Nominal Categories
brs	Barasano	2	Plural suffix	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bar	Bari	2	Plural suffix	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Nominal Categories
brp	Barupu	9	No plural	-3.08333333333	142.083333333	Warapu	Skou	Nominal Categories
bry	Baruya	8	Plural clitic	-6.91666666667	145.916666667	Nuclear Angan	Trans-New Guinea	Nominal Categories
bae	Baré	2	Plural suffix	1.0	-67.0	Japura-Colombia	Arawakan	Nominal Categories
bas	Basaá	1	Plural prefix	3.91666666667	10.5	Bantu	Niger-Congo	Nominal Categories
bsk	Bashkir	2	Plural suffix	53.0	58.0	Turkic	Altaic	Nominal Categories
bsq	Basque	8	Plural clitic	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	5	Plural complete reduplication	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
bto	Batak (Toba)	7	Plural word	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baq	Baure	2	Plural suffix	-13.0833333333	-64.1666666667	Bolivia-Parana	Arawakan	Nominal Categories
baw	Bawm	7	Plural word	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bej	Beja	2	Plural suffix	18.0	36.0	Beja	Afro-Asiatic	Nominal Categories
bco	Bella Coola	1	Plural prefix	52.5	-126.666666667	Bella Coola	Salishan	Nominal Categories
blu	Bena-Lulua	1	Plural prefix	-6.0	21.0	Bantu	Niger-Congo	Nominal Categories
bga	Benga	1	Plural prefix	1.16666666667	9.41666666667	Bantu	Niger-Congo	Nominal Categories
bfg	Berber (Figuig)	6	Mixed morphological plural	32.5	-1.5	Berber	Afro-Asiatic	Nominal Categories
bma	Berber (Middle Atlas)	6	Mixed morphological plural	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
bmz	Berber (Mzab)	2	Plural suffix	32.5	3.5	Berber	Afro-Asiatic	Nominal Categories
brf	Berber (Rif)	6	Mixed morphological plural	34.5	-4.0	Berber	Afro-Asiatic	Nominal Categories
bsi	Berber (Siwa)	6	Mixed morphological plural	29.1666666667	25.5	Berber	Afro-Asiatic	Nominal Categories
zag	Beria	4	Plural tone	16.0	23.0	Eastern Saharan	Saharan	Nominal Categories
ber	Berta	6	Mixed morphological plural	10.3333333333	34.6666666667	Berta	Berta	Nominal Categories
bti	Betoi	2	Plural suffix	7.16666666667	-71.25	Betoi	Betoi	Nominal Categories
bkb	Betta Kurumba	2	Plural suffix	11.5	76.75	Dravidian	Dravidian	Nominal Categories
bho	Bhojpuri	2	Plural suffix	26.0	84.0	Indic	Indo-European	Nominal Categories
bik	Biak	8	Plural clitic	-1.0	136.0	South Halmahera - West New Guinea	Austronesian	Nominal Categories
bid	Bidiya	2	Plural suffix	11.9166666667	18.75	East Chadic	Afro-Asiatic	Nominal Categories
bkl	Bikol	7	Plural word	13.3333333333	123.5	Greater Central Philippine	Austronesian	Nominal Categories
bln	Bilin	2	Plural suffix	15.75	38.5	Central Cushitic	Afro-Asiatic	Nominal Categories
blx	Biloxi	9	No plural	30.5	-88.6666666667	Ohio Valley Siouan	Siouan	Nominal Categories
bil	Bilua	7	Plural word	-7.75	156.666666667	Bilua	Solomons East Papuan	Nominal Categories
bin	Binandere	6	Mixed morphological plural	-8.25	148.0	Binanderean	Trans-New Guinea	Nominal Categories
big	Binga	2	Plural suffix	8.0	25.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bni	Bini	9	No plural	6.41666666667	5.83333333333	Edoid	Niger-Congo	Nominal Categories
bbw	Bininj Gun-Wok	1	Plural prefix	-12.5	133.75	Marne	Gunwinyguan	Nominal Categories
bii	Biri	9	No plural	-20.5	146.5	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
bir	Birom	1	Plural prefix	9.66666666667	8.83333333333	Benue-Congo Plateau	Niger-Congo	Nominal Categories
bla	Blackfoot	2	Plural suffix	50.0	-112.666666667	Algonquian	Algic	Nominal Categories
bob	Bobangi	1	Plural prefix	-1.33333333333	17.3333333333	Bantu	Niger-Congo	Nominal Categories
bbf	Bobo Madaré (Northern)	8	Plural clitic	12.4166666666667	-4.3333333333333	Western Mande	Mande	Nominal Categories
bod	Bodo	2	Plural suffix	26.8333333333	92.0	Brahmaputran	Sino-Tibetan	Nominal Categories
bgo	Bongo	8	Plural clitic	7.5	28.5	Bongo-Bagirmi	Central Sudanic	Nominal Categories
btk	Bontok	1	Plural prefix	17.0833333333	120.916666667	Northern Luzon	Austronesian	Nominal Categories
brh	Brahui	2	Plural suffix	28.5	67.0	Dravidian	Dravidian	Nominal Categories
bre	Breton	2	Plural suffix	48.0	-3.0	Celtic	Indo-European	Nominal Categories
bri	Bribri	2	Plural suffix	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Nominal Categories
bdu	Budu	1	Plural prefix	2.0	28.0	Bantu	Niger-Congo	Nominal Categories
bud	Buduma	2	Plural suffix	13.5	14.5	Biu-Mandara	Afro-Asiatic	Nominal Categories
bgn	Bugun	2	Plural suffix	27.5	92.5833333333	Kho-Bwa	Sino-Tibetan	Nominal Categories
bun	Buin	2	Plural suffix	-6.75	155.75	South Bougainville	South Bougainville	Nominal Categories
bnu	Bularnu	2	Plural suffix	-21.0	138.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
bul	Bulgarian	2	Plural suffix	42.5	25.0	Slavic	Indo-European	Nominal Categories
pnu	Bunu (Younuo)	9	No plural	24.0	107.0	Hmongic	Hmong-Mien	Nominal Categories
bnb	Bunuba	8	Plural clitic	-17.75	125.75	Bunuban	Bunuban	Nominal Categories
but	Buriat	2	Plural suffix	52.0	108.0	Mongolic	Altaic	Nominal Categories
brm	Burmese	7	Plural word	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
brn	Burunge	2	Plural suffix	-5.33333333333	36.0	Southern Cushitic	Afro-Asiatic	Nominal Categories
bur	Burushaski	2	Plural suffix	36.5	74.5	Burushaski	Burushaski	Nominal Categories
bus	Busa	8	Plural clitic	9.66666666667	4.0	Eastern Mande	Mande	Nominal Categories
bsh	Bushoong	1	Plural prefix	-4.5	21.5	Bantu	Niger-Congo	Nominal Categories
bya	Byansi	2	Plural suffix	30.1666666667	80.5	Bodic	Sino-Tibetan	Nominal Categories
cah	Cahuilla	2	Plural suffix	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
cak	Cakchiquel	6	Mixed morphological plural	14.5	-91.0	Mayan	Mayan	Nominal Categories
cax	Campa (Axininca)	2	Plural suffix	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Nominal Categories
cam	Camsá	2	Plural suffix	1.16666666667	-77.0	Camsá	Camsá	Nominal Categories
cnm	Canamarí	7	Plural word	-6.5	-68.5	Katukinan	Katukinan	Nominal Categories
cnl	Canela	9	No plural	-7.0	-45.0	Je Setentrional	Macro-Ge	Nominal Categories
cnt	Cantonese	9	No plural	23.0	113.0	Chinese	Sino-Tibetan	Nominal Categories
crp	Carapana	2	Plural suffix	0.833333333333	-70.75	Tucanoan	Tucanoan	Nominal Categories
car	Carib	2	Plural suffix	5.5	-56.0	Cariban	Cariban	Nominal Categories
cde	Carib (De'kwana)	2	Plural suffix	5.5	-65.0	Cariban	Cariban	Nominal Categories
cas	Cashibo	2	Plural suffix	-8.5	-75.5	Panoan	Pano-Tacanan	Nominal Categories
cav	Cavineña	8	Plural clitic	-13.3333333333	-66.5	Tacanan	Pano-Tacanan	Nominal Categories
cyv	Cayuvava	8	Plural clitic	-13.5	-65.5	Cayuvava	Cayuvava	Nominal Categories
chh	Chaha	9	No plural	8.112935	37.93267	Semitic	Afro-Asiatic	Nominal Categories
cai	Chai	2	Plural suffix	5.33333333333	35.3333333333	South Surmic	Eastern Sudanic	Nominal Categories
cld	Chaldean (Modern)	2	Plural suffix	36.0	43.0	Semitic	Afro-Asiatic	Nominal Categories
chb	Chambri	2	Plural suffix	-4.16666666667	143.083333333	Lower Sepik	Ramu-Lower Sepik	Nominal Categories
cha	Chamorro	7	Plural word	13.45	144.75	Chamorro	Austronesian	Nominal Categories
chg	Chang	2	Plural suffix	26.3333333333	94.75	Brahmaputran	Sino-Tibetan	Nominal Categories
chn	Chantyal	2	Plural suffix	28.5833333333	83.4166666667	Bodic	Sino-Tibetan	Nominal Categories
cso	Chatino (Sierra Occidental)	9	No plural	16.25	-97.3333333333	Zapotecan	Oto-Manguean	Nominal Categories
cya	Chatino (Yaitepec)	9	No plural	16.25	-97.25	Zapotecan	Oto-Manguean	Nominal Categories
chc	Chechen	2	Plural suffix	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Nominal Categories
cmh	Chemehuevi	2	Plural suffix	34.3333333333	-115.166666667	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
che	Cherokee	1	Plural prefix	35.5	-83.5	Southern Iroquoian	Iroquoian	Nominal Categories
cic	Chichewa	1	Plural prefix	-14.0	34.0	Bantu	Niger-Congo	Nominal Categories
chi	Chimariko	9	No plural	41.0	-123.0	Chimariko	Hokan	Nominal Categories
cmr	Chin (Mara)	7	Plural word	23.0	93.1666666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
chs	Chin (Siyin)	2	Plural suffix	23.8333333333	94.0	Kuki-Chin	Sino-Tibetan	Nominal Categories
cti	Chin (Tiddim)	9	No plural	23.3333333333	93.6666666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
ccm	Chinantec (Comaltepec)	7	Plural word	17.5833333333	-96.4166666667	Chinantecan	Oto-Manguean	Nominal Categories
cle	Chinantec (Lealao)	7	Plural word	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Nominal Categories
cpl	Chinantec (Palantla)	9	No plural	18.8333333333	-96.75	Chinantecan	Oto-Manguean	Nominal Categories
chq	Chinantec (Quiotepec)	9	No plural	17.5833333333	-96.6666666667	Chinantecan	Oto-Manguean	Nominal Categories
ckl	Chinook (Lower)	2	Plural suffix	46.25	-123.5	Chinookan	Penutian	Nominal Categories
cpy	Chipaya	2	Plural suffix	-18.75	-67.8333333333	Uru-Chipaya	Uru-Chipaya	Nominal Categories
cqt	Chiquitano	2	Plural suffix	-17.5	-60.0	Chiquitano	Chiquitano	Nominal Categories
ctm	Chitimacha	2	Plural suffix	29.6666666667	-91.0	Chitimacha	Chitimacha	Nominal Categories
cct	Choctaw	9	No plural	32.25	-88.5	Muskogean	Muskogean	Nominal Categories
cln	Cholón	2	Plural suffix	-8.0	-77.5	Hobitu-Cholon	Hobitu-Cholon	Nominal Categories
chx	Chontal (Huamelultec Oaxaca)	2	Plural suffix	16.0	-95.75	Tequistlatecan	Hokan	Nominal Categories
cmy	Chontal Maya	2	Plural suffix	18.1666666667	-92.5833333333	Mayan	Mayan	Nominal Categories
chr	Chrau	9	No plural	10.75	107.5	Bahnaric	Austro-Asiatic	Nominal Categories
chk	Chukchi	2	Plural suffix	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
chv	Chuvash	2	Plural suffix	55.5	47.5	Turkic	Altaic	Nominal Categories
cbo	Chácobo	7	Plural word	-12.1666666667	-66.75	Panoan	Pano-Tacanan	Nominal Categories
coc	Cocama	2	Plural suffix	-5.0	-74.5	Maweti-Guarani	Tupian	Nominal Categories
coe	Coeur d'Alene	7	Plural word	47.25	-116.5	Interior Salish	Salishan	Nominal Categories
cmn	Comanche	2	Plural suffix	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
coo	Coos (Hanis)	6	Mixed morphological plural	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cop	Coptic	9	No plural	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	Nominal Categories
crn	Cornish	2	Plural suffix	50.3333333333	-5.0	Celtic	Indo-European	Nominal Categories
cre	Cree (Plains)	2	Plural suffix	54.0	-110.0	Algonquian	Algic	Nominal Categories
cro	Crow	2	Plural suffix	47.0	-108.0	Missouri River Siouan	Siouan	Nominal Categories
cup	Cupeño	2	Plural suffix	33.1666666667	-116.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
cze	Czech	2	Plural suffix	50.0	15.0	Slavic	Indo-European	Nominal Categories
cem	Cèmuhî	7	Plural word	-20.8333333333	165.166666667	Oceanic	Austronesian	Nominal Categories
dgb	Dagbani	2	Plural suffix	9.58333333333	-0.5	Oti-Volta	Niger-Congo	Nominal Categories
dan	Dan	7	Plural word	7.5	-8.0	Eastern Mande	Mande	Nominal Categories
dsh	Danish	2	Plural suffix	56.0	10.0	Germanic	Indo-European	Nominal Categories
drg	Dargwa	2	Plural suffix	42.25	47.4166666667	Dargwic	Nakh-Daghestanian	Nominal Categories
drm	Darma	7	Plural word	30.0	79.75	Bodic	Sino-Tibetan	Nominal Categories
day	Day	7	Plural word	8.75	17.8333333333	Day	Niger-Congo	Nominal Categories
des	Desano	2	Plural suffix	0.833333333333	-69.8333333333	Tucanoan	Tucanoan	Nominal Categories
deu	Deuri	2	Plural suffix	26.0	90.25	Brahmaputran	Sino-Tibetan	Nominal Categories
dhw	Dharawal	2	Plural suffix	-34.5	150.5	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
dhr	Dhargari	2	Plural suffix	-23.75	114.916666667	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
did	Didinga	2	Plural suffix	4.5	33.5	South Surmic	Eastern Sudanic	Nominal Categories
die	Diegueño (Mesa Grande)	9	No plural	32.6666666667	-116.166666667	Yuman	Hokan	Nominal Categories
dms	Dimasa	2	Plural suffix	25.5	93.0	Brahmaputran	Sino-Tibetan	Nominal Categories
dim	Dime	8	Plural clitic	6.16666666667	36.25	South Omotic	Afro-Asiatic	Nominal Categories
din	Dinka	3	Plural stem change	8.5	28.0	Western Nilotic	Eastern Sudanic	Nominal Categories
dio	Diola-Fogny	1	Plural prefix	13.0	-16.25	Jola	Niger-Congo	Nominal Categories
djp	Djapu	7	Plural word	-12.6666666667	136.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
djr	Djaru	5	Plural complete reduplication	-18.75	128.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
djn	Djinang	2	Plural suffix	-12.3333333333	134.833333333	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
dji	Djingili	2	Plural suffix	-17.75	134.0	Djingili	Mirndi	Nominal Categories
dmk	Domaaki	2	Plural suffix	36.1666666667	74.0	Indic	Indo-European	Nominal Categories
dom	Domari	2	Plural suffix	32.0	35.0	Indic	Indo-European	Nominal Categories
don	Dong (Southern)	9	No plural	27.0	109.0	Kam-Tai	Tai-Kadai	Nominal Categories
dgo	Dongo	2	Plural suffix	3.0	30.0	Ubangi	Niger-Congo	Nominal Categories
dds	Donno So	8	Plural clitic	14.3333333333	-3.58333333333	Dogon	Dogon	Nominal Categories
doy	Doyayo	2	Plural suffix	8.66666666667	13.0833333333	Samba-Duru	Niger-Congo	Nominal Categories
dre	Drehu	7	Plural word	-21.0	167.25	Oceanic	Austronesian	Nominal Categories
dul	Dulong	7	Plural word	28.0	98.3333333333	Nungish	Sino-Tibetan	Nominal Categories
dun	Duna	8	Plural clitic	-5.5	142.5	Duna	Duna-Bogaya	Nominal Categories
dut	Dutch	2	Plural suffix	52.5	6.0	Germanic	Indo-European	Nominal Categories
daw	Dâw	8	Plural clitic	-0.25	-67.0833333333	Nadahup	Nadahup	Nominal Categories
eip	Eipo	2	Plural suffix	-4.33333333333	140.083333333	Mek	Trans-New Guinea	Nominal Categories
emb	Emberá (Northern)	2	Plural suffix	6.83333333333	-77.1666666667	Choco	Choco	Nominal Categories
ene	Enets	2	Plural suffix	67.5	86.5	Samoyedic	Uralic	Nominal Categories
egn	Engenni	9	No plural	5.16666666667	6.38333333333	Edoid	Niger-Congo	Nominal Categories
eno	Enggano	1	Plural prefix	-5.41666666667	102.25	Enggano	Austronesian	Nominal Categories
eng	English	2	Plural suffix	52.0	0.0	Germanic	Indo-European	Nominal Categories
eny	Enya	1	Plural prefix	-0.5	25.25	Bantu	Niger-Congo	Nominal Categories
epe	Epena Pedee	8	Plural clitic	3.0	-77.0	Choco	Choco	Nominal Categories
err	Erromangan	7	Plural word	-18.8333333333	169.166666667	Oceanic	Austronesian	Nominal Categories
ese	Ese Ejja	7	Plural word	-11.0	-66.0	Tacanan	Pano-Tacanan	Nominal Categories
est	Estonian	2	Plural suffix	59.0	26.0	Finnic	Uralic	Nominal Categories
eud	Eudeve	1	Plural prefix	29.1666666667	-109.666666667	Opata-Eudeve	Uto-Aztecan	Nominal Categories
evn	Even	2	Plural suffix	68.0	130.0	Tungusic	Altaic	Nominal Categories
eve	Evenki	2	Plural suffix	56.0	125.0	Tungusic	Altaic	Nominal Categories
ewe	Ewe	8	Plural clitic	6.33333333333	0.416666666667	Gbe	Niger-Congo	Nominal Categories
ewo	Ewondo	1	Plural prefix	4.0	12.0	Bantu	Niger-Congo	Nominal Categories
fin	Finnish	2	Plural suffix	62.0	25.0	Finnic	Uralic	Nominal Categories
pdp	Folopa	2	Plural suffix	-7.0	144.5	Teberan	Teberan-Pawaian	Nominal Categories
fon	Fongbe	7	Plural word	6.41666666667	2.16666666667	Gbe	Niger-Congo	Nominal Categories
for	Fore	2	Plural suffix	-6.75	145.5	Fore-Gimi	Trans-New Guinea	Nominal Categories
fre	French	2	Plural suffix	48.0	2.0	Romance	Indo-European	Nominal Categories
fua	Fulfulde (Adamawa)	2	Plural suffix	9.16666666667	13.5	Peul-Serer	Niger-Congo	Nominal Categories
ful	Fulniô	2	Plural suffix	-8.0	-37.5	Fulniô	Fulniô	Nominal Categories
fur	Fur	6	Mixed morphological plural	13.5	25.0	Fur	Fur	Nominal Categories
fut	Futuna-Aniwa	7	Plural word	-19.5333333333	170.216666667	Oceanic	Austronesian	Nominal Categories
fye	Fyem	1	Plural prefix	9.58333333333	9.33333333333	Benue-Congo Plateau	Niger-Congo	Nominal Categories
gnd	Ga'anda	2	Plural suffix	10.3333333333	12.5833333333	Biu-Mandara	Afro-Asiatic	Nominal Categories
gds	Gadsup	2	Plural suffix	-6.25	146.0	Gauwa	Trans-New Guinea	Nominal Categories
gae	Gaelic (Scots)	6	Mixed morphological plural	57.0	-4.0	Celtic	Indo-European	Nominal Categories
gah	Gahuku	2	Plural suffix	-6.0	145.416666667	Gahuku	Trans-New Guinea	Nominal Categories
gal	Galo	2	Plural suffix	28.1666666667	94.6666666667	Tani	Sino-Tibetan	Nominal Categories
