wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	2	Plural suffix	-24.0	21.5	Tu	Tu	Nominal Categories
aar	Aari	9	No plural	6.0	36.5833333333	South Omotic	Afro-Asiatic	Nominal Categories
abi	Abipón	2	Plural suffix	-29.0	-61.0	Abipon	Guaicuruan	Nominal Categories
abk	Abkhaz	2	Plural suffix	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abv	Abui	7	Plural word	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Nominal Categories
abu	Abun	9	No plural	-0.5	132.5	Abun	Abun	Nominal Categories
ace	Acehnese	9	No plural	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
acg	Achagua	2	Plural suffix	4.41666666667	-72.25	Japura-Colombia	Arawakan	Nominal Categories
acl	Acholi	6	Mixed morphological plural	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Nominal Categories
aco	Acoma	2	Plural suffix	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
adg	Adang	9	No plural	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Nominal Categories
adi	Adioukrou	1	Plural prefix	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Nominal Categories
agc	Agta (Central)	7	Plural word	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Nominal Categories
agd	Agta (Dupaningan)	7	Plural word	18.0	122.083333333	Greater Central Philippine	Austronesian	Nominal Categories
ain	Ainu	2	Plural suffix	43.0	143.0	Ainu	Ainu	Nominal Categories
ajg	Ajagbe	8	Plural clitic	7.0	1.75	Gbe	Niger-Congo	Nominal Categories
akn	Akan	6	Mixed morphological plural	6.5	-1.25	Tano	Niger-Congo	Nominal Categories
ala	Alamblak	8	Plural clitic	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alw	Alawa	1	Plural prefix	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Nominal Categories
alb	Albanian	2	Plural suffix	41.0	20.0	Albanian	Indo-European	Nominal Categories
ale	Aleut	2	Plural suffix	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
