"TABL. 1. POWIERZCHNIA, LUDNOŚĆ ORAZ LOKATY WEDŁUG WOJEWÓDZTW
              AREA, POPULATION AND RANKING POSITIONS BY VOIVODSHIPS";;;;;;;;;;;
;;;;;;;;"Powrót do spisu tablic
Return to the list of tables";;;
"Identyfikator
terytorialny
Territorial
identifier";"Województwa
Voivodships";"Powierzchnia
Area";;"Ludność
 Population";;"Lokata według
Ranking position by";;;;;
;;"w ha
in ha";"w km ²
in km ²";"ogółem
total";"na 1 km ²
per 1 km ²";"powierzchni
w ha
area in ha";"liczby
ludności
population";;;;
;P O L S K A;31393136;313931;37766327;120;x;x;;;;
;P O L A N D;;;;;;;;;;
02;Dolnośląskie;1994704;19947;2888033;145;7;5;;;;
04;Kujawsko-pomorskie;1797155;17971;2006876;112;10;10;;;;
06;Lubelskie;2512243;25122;2024637;81;3;9;;;;
08;Lubuskie;1398772;13988;979976;70;13;15;;;;
10;Łódzkie;1821898;18219;2378483;131;9;6;;;;
12;Małopolskie;1518359;15184;3429014;226;12;4;;;;
14;Mazowieckie;3555871;35559;5510612;155;1;1;;;;
16;Opolskie;941160;9411;942441;100;16;16;;;;
18;Podkarpackie;1784537;17845;2079098;117;11;8;;;;
20;Podlaskie;2018685;20187;1143355;57;6;14;;;;
22;Pomorskie;1954681;19547;2358307;121;8;7;;;;
24;Śląskie;1233407;12334;4346702;352;14;2;;;;
26;Świętokrzyskie;1170878;11709;1178164;101;15;13;;;;
28;Warmińsko-mazurskie;2417371;24174;1366430;57;4;12;;;;
30;Wielkopolskie;2982675;29827;3493577;117;2;3;;;;
32;Zachodniopomorskie;2290740;22907;1640622;72;5;11;;;;
;;;;;;;;;;;
