"id_rok","I","II","III","IV","V","VI","VII","VIII","IX","X","XI","XII"
"2019","6,1","6,1","5,9","5,6","5,4","5,3","5,2","5,2","5,1","5,0","5,1","5,2"
"2020","5,5","5,5","5,4","5,8","6,0","6,1","6,1","6,1","6,1","6,1","6,1","6,3"
"2021","6,5","6,6","6,4","6,3","6,1","6,0","5,9","5,8","5,6","5,5","5,4","5,8"
"2022","5,9","5,9","5,8","5,6","5,4","5,2","5,2","5,2","5,1","5,1","5,1","5,2"
"2023","5,5","5,6","5,4","5,3","5,1","5,1","5,0","5,0","5,0","5,0","5,0","5,1"
"2024","5,4","5,4","5,3","5,1","5,0","4,9","5,0","5,0","5,0","4,9","5,0","5,1"
"2025","5,4","5,4","","","","","","","","","",""
