Title,Country,Rating
Skazani na Shawshank,United States,9.3
Mroczny Rycerz,United States/United Kingdom,9.0
Incepcja,United States/United Kingdom,8.8
Podziemny krąg,Germany/United States,8.8
Forrest Gump,United States,8.8
Interstellar,United States/United Kingdom/Canada,8.7
Pulp Fiction,United States,8.9
Matrix,United States/Australia,8.7
Ojciec chrzestny,United States,9.2
Władca Pierścieni: Drużyna Pierścienia,New Zealand/United States/United Kingdom,8.9
Władca Pierścieni: Powrót króla,New Zealand/United States,9.0
Mroczny Rycerz powstaje,United States/United Kingdom,8.4
Siedem,United States,8.6
Władca Pierścieni: Dwie wieże,New Zealand/United States,8.8
Django,United States,8.5
Gladiator,United States/United Kingdom/Malta/Morocco,8.5
Wilk z Wall Street,United States,8.2
Bękarty wojny,United States/Germany,8.4
Batman - Początek,United States/United Kingdom,8.2
Milczenie owiec,United States,8.6
Joker,United States/Canada/Australia,8.3
Szeregowiec Ryan,United States,8.6
Wyspa tajemnic,United States/Canada,8.2
Lista Schindlera,United States,9.0
Prestiż,United Kingdom/United States,8.5
Avengers,United States,8.0
Gwiezdne wojny,United States,8.6
Infiltracja,United States/Hong Kong,8.5
Zielona mila,United States,8.6
Gwiezdne wojny: Część V - Imperium kontratakuje,United States,8.7
Avatar,United States/United Kingdom,7.9
Ojciec chrzestny II,United States,9.0
Memento,United States,8.4
Powrót do przyszłości,United States,8.5
Avengers: Koniec gry,United States,8.4
Titanic,United States,7.9
Chłopcy z ferajny,United States,8.7
Strażnicy Galaktyki,United States/United Kingdom,8.0
Leon zawodowiec,France/United States,8.5
Avengers: Wojna bez granic,United States/Norway,8.4
Truman Show,United States,8.2
Piraci z Karaibów: Klątwa ''Czarnej Perły'',United States,8.1
WALL·E,United States/Japan,8.4
Kill Bill,United States,8.2
American Beauty,United States,8.3
Więzień nienawiści,United States,8.5
Terminator 2: Dzień Sądu,United States/France,8.6
V jak vendetta,United States/United Kingdom/Germany,8.1
Deadpool,United States,8.0
Król lew,United States,8.5
Podejrzani,United States/Germany,8.5
Odlot,United States,8.3
Iron Man,United States/Canada,7.9
Lśnienie,United Kingdom/United States,8.4
Mad Max: Na drodze gniewu,Australia/United States,8.1
Gwiezdne wojny: Część VI - Powrót Jedi,United States,8.3
"Złap mnie, jeśli potrafisz",United States/Canada,8.1
Gdzie jest Nemo?,United States/Japan,8.2
Zakochany bez pamięci,United States,8.3
Buntownik z wyboru,United States,8.3
Wściekłe psy,United States,8.3
Braveheart - Waleczne Serce,United States,8.3
Toy Story,United States,8.3
To nie jest kraj dla starych ludzi,United States,8.2
Zaginiona dziewczyna,United States,8.1
Jurassic Park,United States,8.2
Lot nad kukułczym gniazdem,United States,8.7
Szósty zmysł,United States,8.2
Poszukiwacze zaginionej Arki,United States,8.4
Whiplash,United States,8.5
Parasite,,8.5
Igrzyska śmierci,United States,7.2
Potwory i spółka,United States,8.1
Piękny umysł,United States,8.2
Obcy - 8. pasażer ''Nostromo'',United Kingdom/United States,8.5
Gwiezdne wojny: Przebudzenie Mocy,United States/United Kingdom,7.8
Harry Potter i Insygnia Śmierci: Część II,United Kingdom/United States,8.1
Szklana pułapka,United States,8.2
Taksówkarz,United States,8.2
Nietykalni,France,8.5
Marsjanin,United States/United Kingdom/Hungary/Jordan,8.0
Pianista,France/Poland/Germany/United Kingdom/United States,8.5
Elektroniczny morderca,United Kingdom/United States,8.1
Człowiek z blizną,United States,8.3
Avengers: Czas Ultrona,United States,7.3
Diuna,United States/Canada,8.0
Spider-Man: Bez drogi do domu,United States,8.2
Przekręt,United Kingdom/United States,8.2
Requiem dla snu,United States,8.3
Kapitan Ameryka: Zimowy Żołnierz,United States,7.7
Thor,United States,7.0
Captain America: Pierwsze starcie,United States,6.9
Iron Man 3,United States,7.1
Toy Story 3,United States,8.3
Grand Budapest Hotel,United States/Germany,8.1
12 gniewnych ludzi,United States,9.0
Spider-Man,United States,7.4
Mechaniczna pomarańcza,United Kingdom/United States,8.2
Zjawa,United States/Hong Kong/Argentina,8.0
Spirited Away: W krainie bogów,Japan/United States,8.6
Pewnego razu... w Hollywood,United States/United Kingdom/China,7.6
Hobbit: Niezwykła podróż,New Zealand/United States,7.8
Harry Potter i Kamień Filozoficzny,United Kingdom/United States,7.7
Iron Man 2,United States,6.9
Slumdog. Milioner z ulicy,United Kingdom/France/United States/India,8.0
300,United States/Canada/Bulgaria,7.6
Big Lebowski,United Kingdom/United States,8.1
Gwiezdne wojny: Część I - Mroczne widmo,United States/United Kingdom,6.5
Logan: Wolverine,United States,8.1
Kapitan Ameryka: Wojna bohaterów,United States/Germany/Puerto Rico,7.8
Kac Vegas,United States/Germany,7.7
Grawitacja,United Kingdom/United States,7.7
Ratatuj,United States,8.1
Donnie Darko,United States,8.0
Gwiezdne wojny: Część III - Zemsta Sithów,United States/Italy/Switzerland/Thailand/United Kingdom,7.6
Oppenheimer,United States/United Kingdom,8.3
Czarna Pantera,United States,7.3
Labirynt,United States,8.2
Batman,United States,7.8
W głowie się nie mieści,United States,8.1
Czarny łabędź,United States,8.0
Łowca androidów,United States/United Kingdom,8.1
Thor: Ragnarok,United States,7.9
Gra tajemnic,United States,8.0
Iniemamocni,United States,8.0
"Dobry, zły i brzydki",Italy/Spain/Germany/United States,8.8
Jestem legendą,United States/United Kingdom,7.2
Jak wytresować smoka,United States/France/United Kingdom,8.1
Doktor Strange,United States/Hong Kong/Nepal,7.5
Gran Torino,Germany/United States,8.1
