"ROK","IMIĘ","LICZBA","PŁEĆ","WSPÓŁCZYNNIK_WYSTĘPOWANIA"
2010,"JAKUB",13764,"M",0.0639222752688971
2010,"SZYMON",10395,"M",0.0482760862699931
2010,"KACPER",8862,"M",0.0411565826382568
2010,"FILIP",8663,"M",0.0402323939737326
2010,"MICHAŁ",7620,"M",0.0353885307722316
2010,"MATEUSZ",7376,"M",0.0342553547212573
2010,"BARTOSZ",6670,"M",0.030976574836061
2010,"ADAM",5590,"M",0.0259608775612565
2010,"WOJCIECH",5511,"M",0.0255939885939329
2010,"WIKTOR",5316,"M",0.0246883765859821
2011,"JAKUB",12661,"M",0.06305435892328
2011,"SZYMON",9345,"M",0.0465400034861426
2011,"FILIP",8456,"M",0.0421126024054384
2011,"KACPER",8003,"M",0.0398565701337185
2011,"MICHAŁ",6521,"M",0.032475908264648
2011,"MATEUSZ",6482,"M",0.0322816803207251
2011,"BARTOSZ",6014,"M",0.0299509449936502
2011,"ADAM",5656,"M",0.0281680320725118
2011,"JAN",5491,"M",0.0273462984636072
2011,"WOJCIECH",5101,"M",0.0254040190243781
2012,"JAKUB",11989,"M",0.0600801804059133
2012,"KACPER",9219,"M",0.0461989476321724
2012,"FILIP",8815,"M",0.0441743923828614
2012,"SZYMON",8139,"M",0.0407867702330243
2012,"JAN",6632,"M",0.0332347782510649
2012,"MICHAŁ",6092,"M",0.0305286895514909
2012,"ANTONI",5890,"M",0.0295164119268354
2012,"MATEUSZ",5512,"M",0.0276221498371336
2012,"BARTOSZ",5352,"M",0.0268203457780005
2012,"ADAM",5200,"M",0.0260586319218241
2013,"JAKUB",10870,"M",0.057021156055416
2013,"KACPER",8654,"M",0.045396603910172
2013,"FILIP",8101,"M",0.0424957116103887
2013,"SZYMON",7140,"M",0.0374545588073293
2013,"JAN",7043,"M",0.0369457223641485
2013,"ANTONI",6704,"M",0.0351674176812795
2013,"MICHAŁ",5566,"M",0.0291977695128284
2013,"WOJCIECH",5153,"M",0.0270312803269143
2013,"ADAM",5029,"M",0.0263808089974873
2013,"MATEUSZ",4930,"M",0.0258614810812512
2014,"JAKUB",10229,"M",0.0527817624536889
2014,"KACPER",7922,"M",0.0408776148360664
2014,"ANTONI",7761,"M",0.0400468529086987
2014,"FILIP",7688,"M",0.0396701720347991
2014,"JAN",7398,"M",0.0381737685631431
2014,"SZYMON",6542,"M",0.0337567983157721
2014,"FRANCISZEK",5496,"M",0.0283594257938678
2014,"ALEKSANDER",5306,"M",0.0273790235193346
2014,"MICHAŁ",5289,"M",0.0272913033158237
2014,"WOJCIECH",5262,"M",0.0271519829926005
2020,"ANTONI",8368,"M",0.045743773642665
2020,"JAN",7658,"M",0.0418625500185861
2020,"ALEKSANDER",7165,"M",0.0391675595303173
2020,"JAKUB",7162,"M",0.0391511599938775
2020,"FRANCISZEK",7124,"M",0.0389434325323071
2020,"SZYMON",6083,"M",0.0332527933877069
2020,"FILIP",5474,"M",0.0299236874904336
2020,"MIKOŁAJ",5368,"M",0.0293442372028951
2020,"LEON",5018,"M",0.0274309579515886
2020,"STANISŁAW",4963,"M",0.0271302997835261
2021,"ANTONI",7821,"M",0.0457925429762518
2021,"JAN",6975,"M",0.040839149374678
2021,"ALEKSANDER",6919,"M",0.0405112651646447
2021,"FRANCISZEK",6629,"M",0.0388132933626868
2021,"JAKUB",6427,"M",0.0376305681764954
2021,"LEON",5296,"M",0.0310084781488594
2021,"MIKOŁAJ",5205,"M",0.0304756663075554
2021,"SZYMON",4962,"M",0.0290528830390182
2021,"FILIP",4884,"M",0.0285961871750433
2021,"STANISŁAW",4679,"M",0.0273958967633144
2022,"ANTONI",6670,"M",0.0424875945141954
2022,"JAN",6341,"M",0.0403918795823858
2022,"ALEKSANDER",6201,"M",0.0395000859943817
2022,"NIKODEM",6155,"M",0.0392070681011804
2022,"FRANCISZEK",5696,"M",0.0362832591233669
2022,"JAKUB",5535,"M",0.0352576964971622
2022,"LEON",5091,"M",0.0324294368323492
2022,"MIKOŁAJ",4499,"M",0.0286584239459318
2022,"STANISŁAW",4265,"M",0.027167854663125
2022,"FILIP",4107,"M",0.0261614018995203
2023,"NIKODEM",6532,"M",0.0466724780999471
2023,"ANTONI",5663,"M",0.04046329508267
2023,"JAN",5638,"M",0.0402846649613444
2023,"ALEKSANDER",5625,"M",0.0401917772982551
2023,"FRANCISZEK",4965,"M",0.0354759420952599
2023,"LEON",4916,"M",0.0351258270574617
2023,"JAKUB",4474,"M",0.0319676465124255
2023,"IGNACY",4166,"M",0.0297669234176944
2023,"MIKOŁAJ",4081,"M",0.0291595810051874
2023,"STANISŁAW",3874,"M",0.0276805236006116
2024,"NIKODEM",6388,"M",0.0505155943569305
2024,"ANTONI",5404,"M",0.0427342316695135
2024,"JAN",5277,"M",0.0417299297779465
2024,"ALEKSANDER",5170,"M",0.040883785664579
2024,"LEON",4669,"M",0.0369219333206807
2024,"FRANCISZEK",4574,"M",0.0361706838742329
2024,"IGNACY",4229,"M",0.033442462200291
2024,"JAKUB",3938,"M",0.0311412665274878
2024,"STANISŁAW",3715,"M",0.029377807300563
2024,"MIKOŁAJ",3644,"M",0.0288163471879547
