"id_rok","I","II","III","IV","V","VI","VII","VIII","IX","X","XI","XII"
"2019","2,7","4,9","7,3","8,9","7,7","7,8","6,2","5,6","3,2","0,7","-1,9","-4,6"
"2020","-0,7","0,1","-1,9","-47,1","-38,8","-25,9","-16,7","-15,4","-15,0","-16,5","-26,2","-22,6"
"2021","-18,7","-17,7","-15,5","-13,7","-8,4","-5,5","-4,9","-7,0","-7,9","-9,4","-11,9","-15,4"
"2022","-17,1","-15,4","-20,1","-15,4","-14,0","-15,5","-15,2","-15,3","-19,1","-22,1","-22,6","-23,9"
"2023","-21,7","-20,4","-16,9","-12,5","-11,4","-9,7","-7,9","-8,0","-9,5","-10,4","-10,2","-13,2"
"2024","-7,1","-5,5","-4,0","-2,6","-2,3","-2,7","-2,2","-2,8","-3,9","-5,9","-8,5","-10,6"
"2025","-7,3","-6,8","-4,9","-4,0","","","","","","","",""
