"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2008","3",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2009","3",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2010","4",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2011","7",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2012","6",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2013","2",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2014","2",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2015","2",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2016","0",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2017","4",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2018","6",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2019","2",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2020","2",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2021","2",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2022","2",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2005","310",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2006","332",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2007","371",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2008","407",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2009","325",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2010","294",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2011","327",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2012","311",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2013","316",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2014","297",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2015","346",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2016","267",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2017","279",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2018","343",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2019","341",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2020","348",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2021","368",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","051","ARM","Armenia","2022","321",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2005","768",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2006","730",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2007","691",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2008","679",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2009","633",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2010","552",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2011","523",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2012","531",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2013","455",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2014","430",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2015","479",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2016","432",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2017","414",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2018","409",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2019","416",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2020","344",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2021","362",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","040","AUT","Austria","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2005","1065",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2006","1027",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2007","1107",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2008","1052",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2009","930",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2010","925",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2011","1016",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2012","1168",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2013","1164",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2014","1124",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2015","894",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2016","759",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2017","750",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2018","722",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2019","821",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2020","696",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2021","706",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","031","AZE","Azerbaijan","2022","834",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2005","1673",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2006","1726",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2007","1518",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2008","1564",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2009","1322",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2010","1190",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2011","1200",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2012","1039",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2013","894",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2014","757",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2015","664",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2016","588",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2017","589",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2018","549",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2019","505",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2020","575",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2021","524",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","112","BLR","Belarus","2022","466",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2005","1089",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2006","1069",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2007","1071",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2008","944",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2009","944",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2010","850",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2011","884",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2012","827",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2013","764",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2014","745",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2015","762",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2016","670",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2017","609",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2018","604",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2019","646",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2020","499",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2021","516",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","056","BEL","Belgium","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2005","371",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2006","424",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2007","433",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2008","430",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2009","382",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2010","355",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2011","356",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2012","303",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2013","334",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2014","297",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2015","341",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2016","321",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2017","302",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2018","279",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2019","261",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2020","243",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2021","263",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","070","BIH","Bosnia and Herzegovina","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2005","957",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2006","1043",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2007","1006",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2008","1061",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2009","901",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2010","776",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2011","656",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2012","601",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2013","601",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2014","661",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2015","708",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2016","708",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2017","682",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2018","610",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2019","628",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2020","463",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2021","561",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","100","BGR","Bulgaria","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2005","2898",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2006","2871",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2007","2753",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2008","2431",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2009","2216",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2010","2238",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2011","2023",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2012","2075",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2013","1951",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2014","1841",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2015","1887",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2016","1900",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2017","1861",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2018","1939",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2019","1756",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2020","1746",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2021","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","124","CAN","Canada","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2005","597",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2006","614",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2007","619",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2008","664",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2009","548",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2010","426",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2011","418",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2012","393",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2013","368",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2014","308",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2015","348",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2016","307",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2017","331",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2018","317",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2019","297",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2020","237",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2021","292",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","191","HRV","Croatia","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2005","102",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2006","86",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2007","89",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2008","82",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2009","71",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2010","60",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2011","71",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2012","51",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2013","44",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2014","45",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2015","57",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2016","46",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2017","53",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2018","49",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2019","52",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2020","48",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2021","45",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","196","CYP","Cyprus","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2005","1286",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2006","1063",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2007","1221",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2008","1076",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2009","901",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2010","802",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2011","773",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2012","742",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2013","654",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2014","688",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2015","734",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2016","611",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2017","577",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2018","656",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2019","618",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2020","518",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2021","532",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","203","CZE","Czechia","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2005","331",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2006","306",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2007","406",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2008","406",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2009","303",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2010","255",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2011","220",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2012","167",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2013","191",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2014","182",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2015","178",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2016","211",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2017","175",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2018","171",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2019","199",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2020","163",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2021","130",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","208","DNK","Denmark","2022","..",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","233","EST","Estonia","2005","170",
