"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2005","307",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2006","277",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2007","384",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2008","303",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2009","378",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2010","352",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2011","322",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2012","334",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2013","295",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2014","264",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2015","270",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2016","269",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2017","222",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2018","213",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2019","227",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2020","181",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2021","197",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","008","ALB","Albania","2022","164",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2005","7",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2006","3",
"40","Number of fatalities in road traffic accidents","Fatalities in road traffic accidents","Persons","020","AND","Andorra","2007","5",
