"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"        Median age (years)","39.3","35.0","38.1","38.3","37.0","37.1","41.0","41.1","34.3","42.3","37.1","39.6","36.8","38.5","37.9","38.3","37.0","39.0","37.4","44.7","38.9","39.6","39.8","38.2","37.8","38.8","40.0","36.7","38.3","43.0","40.0","38.3","39.2","39.0","35.2","39.4","36.8","39.6","40.8","40.0","39.8","37.1","38.8","35.0","31.3","42.7","38.5","37.9","42.6","39.6","38.2","43.1"
"        Under 18 years","1,122,381","182,734","1,614,435","705,785","8,992,432","1,262,735","744,491","207,645","125,022","4,261,313","2,532,197","311,020","458,830","2,887,351","1,592,087","742,175","714,151","1,021,909","1,101,083","254,585","1,373,149","1,389,724","2,188,856","1,323,569","706,054","1,392,375","232,815","485,910","694,030","260,615","2,040,442","485,326","4,217,396","2,302,315","184,458","2,629,989","961,070","873,486","2,704,482","212,663","1,109,803","218,698","1,534,243","7,446,176","946,063","118,889","1,892,752","1,680,460","366,495","1,292,944","134,467","597,277"
"        16 years and over","4,005,499","572,165","5,650,624","2,382,255","31,499,704","4,606,399","2,954,661","798,798","568,405","17,577,024","8,385,039","1,174,511","1,405,245","10,275,978","5,343,229","2,523,649","2,299,477","3,588,209","3,679,521","1,134,793","4,931,565","5,773,906","8,136,493","4,495,952","2,344,417","4,910,777","872,599","1,519,415","2,443,108","1,144,768","7,436,293","1,682,568","16,383,427","8,336,531","607,971","9,449,482","3,094,226","3,434,262","10,587,037","906,304","4,097,365","686,625","5,504,783","22,261,181","2,391,727","537,475","6,903,607","6,120,915","1,478,714","4,731,836","457,128","2,797,936"
"        18 years and over","3,875,294","553,217","5,464,768","2,300,524","30,462,921","4,460,441","2,860,839","774,247","558,132","17,078,449","8,093,418","1,142,478","1,352,787","9,934,462","5,159,253","2,436,915","2,217,948","3,472,232","3,556,222","1,102,461","4,775,396","5,602,128","7,873,656","4,346,903","2,260,969","4,749,159","845,163","1,465,570","2,365,208","1,111,560","7,193,582","1,624,040","15,897,349","8,064,707","588,886","9,139,934","2,987,066","3,333,691","10,266,168","879,286","3,969,100","663,087","5,325,254","21,416,405","2,285,307","522,748","6,689,727","5,936,904","1,434,554","4,578,717","442,174","2,713,997"
"        21 years and over","3,666,945","525,539","5,171,978","2,175,436","28,890,148","4,237,142","2,705,628","734,748","527,213","16,343,644","7,638,305","1,095,872","1,279,063","9,431,413","4,868,669","2,294,157","2,088,839","3,286,659","3,370,570","1,054,232","4,540,884","5,288,828","7,461,419","4,129,385","2,128,379","4,504,629","803,782","1,383,131","2,259,599","1,054,041","6,860,646","1,538,573","15,125,983","7,624,346","553,413","8,664,868","2,818,973","3,179,562","9,746,827","824,698","3,759,873","626,786","5,058,420","20,202,923","2,137,630","490,048","6,332,302","5,663,680","1,364,916","4,339,111","419,406","2,577,086"
"        62 years and over","1,042,368","116,581","1,495,201","614,919","6,993,526","1,019,076","765,033","228,241","102,671","5,171,900","1,838,668","324,039","352,908","2,479,935","1,308,002","662,164","575,027","906,249","895,121","343,187","1,182,693","1,430,418","2,147,179","1,118,225","586,058","1,276,025","248,576","377,129","591,398","309,811","1,840,980","450,474","4,082,609","2,071,321","145,240","2,466,324","759,163","908,316","2,899,832","232,863","1,102,774","181,764","1,380,140","4,521,104","446,394","154,855","1,637,327","1,465,036","438,831","1,234,894","119,370","831,914"
"        65 years and over","844,427","90,188","1,243,859","505,361","5,669,879","819,254","620,179","186,375","83,199","4,346,965","1,479,832","268,789","287,098","2,012,735","1,057,547","540,542","464,028","734,851","722,446","280,821","949,890","1,156,031","1,733,056","901,517","472,931","1,033,836","202,454","305,771","482,407","250,136","1,494,516","369,541","3,330,159","1,686,235","118,198","2,004,802","615,832","743,125","2,361,790","188,586","901,497","146,784","1,118,190","3,620,798","358,168","125,131","1,328,600","1,177,772","358,875","997,078","96,540","703,925"
"        18 years and over","3,875,294","553,217","5,464,768","2,300,524","30,462,921","4,460,441","2,860,839","774,247","558,132","17,078,449","8,093,418","1,142,478","1,352,787","9,934,462","5,159,253","2,436,915","2,217,948","3,472,232","3,556,222","1,102,461","4,775,396","5,602,128","7,873,656","4,346,903","2,260,969","4,749,159","845,163","1,465,570","2,365,208","1,111,560","7,193,582","1,624,040","15,897,349","8,064,707","588,886","9,139,934","2,987,066","3,333,691","10,266,168","879,286","3,969,100","663,087","5,325,254","21,416,405","2,285,307","522,748","6,689,727","5,936,904","1,434,554","4,578,717","442,174","2,713,997"
"            Male","1,855,656","290,943","2,709,492","1,120,875","15,109,534","2,248,684","1,387,946","371,708","262,217","8,311,172","3,898,631","571,772","677,402","4,856,976","2,528,944","1,210,444","1,101,605","1,699,092","1,721,433","537,298","2,293,634","2,701,656","3,860,559","2,162,324","1,083,380","2,314,221","425,570","728,846","1,186,819","550,345","3,495,699","801,085","7,662,421","3,891,027","302,450","4,453,915","1,473,458","1,647,993","5,008,302","425,349","1,907,422","334,819","2,577,501","10,595,112","1,147,709","256,726","3,274,786","2,971,080","707,968","2,275,271","225,900","1,267,228"
"            Female","2,019,638","262,274","2,755,276","1,179,649","15,353,387","2,211,757","1,472,893","402,539","295,915","8,767,277","4,194,787","570,706","675,385","5,077,486","2,630,309","1,226,471","1,116,343","1,773,140","1,834,789","565,163","2,481,762","2,900,472","4,013,097","2,184,579","1,177,589","2,434,938","419,593","736,724","1,178,389","561,215","3,697,883","822,955","8,234,928","4,173,680","286,436","4,686,019","1,513,608","1,685,698","5,257,866","453,937","2,061,678","328,268","2,747,753","10,821,293","1,137,598","266,022","3,414,941","2,965,824","726,586","2,303,446","216,274","1,446,769"
"            Sex ratio (males per 100 females)","91.9","110.9","98.3","95.0","98.4","101.7","94.2","92.3","88.6","94.8","92.9","100.2","100.3","95.7","96.1","98.7","98.7","95.8","93.8","95.1","92.4","93.1","96.2","99.0","92.0","95.0","101.4","98.9","100.7","98.1","94.5","97.3","93.0","93.2","105.6","95.0","97.3","97.8","95.3","93.7","92.5","102.0","93.8","97.9","100.9","96.5","95.9","100.2","97.4","98.8","104.5","87.6"
"        65 years and over","844,427","90,188","1,243,859","505,361","5,669,879","819,254","620,179","186,375","83,199","4,346,965","1,479,832","268,789","287,098","2,012,735","1,057,547","540,542","464,028","734,851","722,446","280,821","949,890","1,156,031","1,733,056","901,517","472,931","1,033,836","202,454","305,771","482,407","250,136","1,494,516","369,541","3,330,159","1,686,235","118,198","2,004,802","615,832","743,125","2,361,790","188,586","901,497","146,784","1,118,190","3,620,798","358,168","125,131","1,328,600","1,177,772","358,875","997,078","96,540","703,925"
"            Male","372,139","45,027","576,938","226,725","2,549,526","379,264","273,903","84,006","34,518","1,976,902","650,976","123,186","136,928","890,219","472,493","245,458","210,512","328,731","320,459","129,191","415,044","507,819","784,751","414,507","208,362","461,558","97,901","139,059","228,939","115,777","653,101","170,198","1,451,787","746,168","54,879","891,567","277,310","343,287","1,047,887","82,969","404,922","68,936","499,601","1,633,318","168,310","58,154","594,392","542,528","164,810","460,509","46,969","305,458"
"            Female","472,288","45,161","666,921","278,636","3,120,353","439,990","346,276","102,369","48,681","2,370,063","828,856","145,603","150,170","1,122,516","585,054","295,084","253,516","406,120","401,987","151,630","534,846","648,212","948,305","487,010","264,569","572,278","104,553","166,712","253,468","134,359","841,415","199,343","1,878,372","940,067","63,319","1,113,235","338,522","399,838","1,313,903","105,617","496,575","77,848","618,589","1,987,480","189,858","66,977","734,208","635,244","194,065","536,569","49,571","398,467"
"            Sex ratio (males per 100 females)","78.8","99.7","86.5","81.4","81.7","86.2","79.1","82.1","70.9","83.4","78.5","84.6","91.2","79.3","80.8","83.2","83.0","80.9","79.7","85.2","77.6","78.3","82.8","85.1","78.8","80.7","93.6","83.4","90.3","86.2","77.6","85.4","77.3","79.4","86.7","80.1","81.9","85.9","79.8","78.6","81.5","88.6","80.8","82.2","88.7","86.8","81.0","85.4","84.9","85.8","94.8","76.7"
"RACE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,997,675","735,951","7,079,203","3,006,309","39,455,353","5,723,176","3,605,330","981,892","683,154","21,339,762","10,625,615","1,453,498","1,811,617","12,821,813","6,751,340","3,179,090","2,932,099","4,494,141","4,657,305","1,357,046","6,148,545","6,991,852","10,062,512","5,670,472","2,967,023","6,141,534","1,077,978","1,951,480","3,059,238","1,372,175","9,234,024","2,109,366","20,114,745","10,367,022","773,344","11,769,923","3,948,136","4,207,177","12,970,650","1,091,949","5,078,903","881,785","6,859,497","28,862,581","3,231,370","641,637","8,582,479","7,617,364","1,801,049","5,871,661","576,641","3,311,274"
"        One race","4,842,360","662,005","6,344,182","2,847,206","35,220,136","5,245,106","3,378,063","932,380","644,297","19,338,037","10,110,712","1,098,484","1,708,307","12,072,713","6,463,387","3,055,325","2,752,643","4,335,263","4,479,664","1,310,145","5,816,770","6,540,172","9,599,143","5,411,590","2,897,034","5,862,006","1,029,619","1,851,266","2,743,982","1,321,285","8,616,754","1,847,902","18,914,032","9,866,564","743,545","11,267,531","3,554,749","3,881,565","12,415,449","1,019,981","4,877,129","843,266","6,597,904","25,710,496","3,049,012","620,015","8,079,139","6,961,770","1,745,586","5,612,184","548,204","2,750,121"
"        Two or more races","155,315","73,946","735,021","159,103","4,235,217","478,070","227,267","49,512","38,857","2,001,725","514,903","355,014","103,310","749,100","287,953","123,765","179,456","158,878","177,641","46,901","331,775","451,680","463,369","258,882","69,989","279,528","48,359","100,214","315,256","50,890","617,270","261,464","1,200,713","500,458","29,799","502,392","393,387","325,612","555,201","71,968","201,774","38,519","261,593","3,152,085","182,358","21,622","503,340","655,594","55,463","259,477","28,437","561,153"
"        One race","4,842,360","662,005","6,344,182","2,847,206","35,220,136","5,245,106","3,378,063","932,380","644,297","19,338,037","10,110,712","1,098,484","1,708,307","12,072,713","6,463,387","3,055,325","2,752,643","4,335,263","4,479,664","1,310,145","5,816,770","6,540,172","9,599,143","5,411,590","2,897,034","5,862,006","1,029,619","1,851,266","2,743,982","1,321,285","8,616,754","1,847,902","18,914,032","9,866,564","743,545","11,267,531","3,554,749","3,881,565","12,415,449","1,019,981","4,877,129","843,266","6,597,904","25,710,496","3,049,012","620,015","8,079,139","6,961,770","1,745,586","5,612,184","548,204","2,750,121"
"            White","3,338,590","458,520","4,985,729","2,227,020","20,553,732","4,507,448","2,595,884","645,409","276,373","14,449,017","5,934,931","344,295","1,567,799","8,699,413","5,483,296","2,795,319","2,386,766","3,842,383","2,805,875","1,261,097","3,238,671","5,211,704","7,715,291","4,576,758","1,701,989","4,930,466","938,223","1,630,376","1,799,601","1,249,067","5,787,873","1,364,638","12,215,118","6,865,508","656,584","9,374,538","2,752,553","3,394,838","10,153,752","841,181","3,334,961","728,526","5,198,206","18,566,027","2,704,561","596,282","5,574,307","5,465,011","1,658,405","4,894,019","511,179","1,693,651"
"            Black or African American","1,324,233","23,721","318,827","458,086","2,233,258","234,065","389,290","215,745","305,109","3,358,469","3,350,903","28,142","12,242","1,804,013","635,076","119,036","165,291","361,703","1,486,002","19,525","1,833,987","511,394","1,368,177","376,406","1,113,414","695,678","6,236","93,358","284,412","21,834","1,225,321","44,792","3,058,846","2,193,147","24,349","1,452,530","284,536","77,913","1,425,210","69,398","1,328,691","19,300","1,130,608","3,499,862","38,545","8,166","1,631,941","293,401","61,143","372,439","5,242","329,651"
"            American Indian and Alaska Native","21,661","107,531","300,862","17,459","360,607","53,143","8,714","3,064","1,984","54,466","34,928","4,286","22,799","42,714","11,399","10,889","21,657","7,114","25,550","7,578","17,266","14,939","48,361","52,695","13,357","19,904","65,452","17,937","37,850","1,988","24,719","197,712","83,734","113,719","39,103","18,416","303,792","46,075","20,511","4,437","15,595","73,296","15,219","147,892","33,242","1,520","24,007","90,789","1,911","45,831","12,987","5,407"
"                Cherokee tribal grouping","6,646","976","2,934","6,086","14,026","3,416","503","286","199","6,576","4,113","566","1,287","2,156","2,250","481","4,091","1,680","2,122","217","1,735","480","2,152","376","699","5,133","241","557","1,781","242","1,242","1,049","2,541","14,746","257","3,420","119,936","3,510","1,921","61","2,856","250","3,408","13,135","724","32","2,592","2,761","653","681","290","0"
"                Chippewa tribal grouping","204","492","692","63","2,448","733","68","17","27","1,187","430","40","513","843","233","201","138","267","65","50","68","69","19,341","32,080","28","524","2,360","170","278","34","30","287","602","601","14,753","513","433","1,029","229","12","105","469","285","841","96","14","514","2,048","48","14,493","145","0"
"                Navajo tribal grouping","149","89","143,191","261","9,607","8,438","105","0","87","641","208","387","990","495","184","188","710","66","398","42","182","187","339","448","4","603","484","240","2,221","77","226","121,573","360","598","614","204","1,212","1,145","156","0","67","187","274","4,645","14,703","59","396","1,781","0","332","484","0"
"                Sioux tribal grouping","253","315","1,736","89","3,136","3,234","40","13","11","642","314","50","779","269","186","1,490","832","233","120","117","183","141","342","4,752","112","564","2,344","4,262","749","15","152","659","318","372","11,178","337","1,276","1,430","306","21","231","54,699","283","1,547","550","12","188","1,561","26","491","726","0"
"            Asian","70,161","47,213","234,495","46,388","5,887,396","183,391","167,308","39,684","27,988","596,862","448,181","544,643","24,616","725,482","163,657","79,188","87,946","68,737","80,438","14,917","397,087","480,944","322,218","283,382","29,092","123,406","8,972","48,379","255,094","36,625","900,516","34,313","1,739,196","314,690","12,313","276,828","88,601","186,724","460,932","37,701","83,441","12,677","125,581","1,452,713","75,530","10,759","578,210","682,711","13,882","166,670","5,046","6,263"
"                Asian Indian","13,689","870","63,725","11,521","829,193","31,077","63,667","16,888","7,501","175,398","159,731","2,448","3,258","252,931","46,292","15,657","20,172","17,250","11,596","2,297","104,390","121,997","118,224","45,842","6,365","32,828","780","8,269","17,420","10,872","409,982","4,070","384,745","110,320","1,983","97,629","16,791","29,032","148,727","9,168","23,071","2,409","35,042","452,909","11,541","1,858","154,333","133,439","3,562","35,003","641","3,541"
"                Chinese","14,040","2,805","44,385","6,063","1,616,619","35,008","39,124","8,955","7,273","104,622","62,474","57,489","5,524","134,875","32,937","12,293","14,230","11,602","12,026","4,144","85,918","177,658","57,159","31,928","4,739","29,147","2,046","6,433","40,497","7,703","159,030","6,422","733,860","50,298","1,336","59,710","11,810","42,460","115,751","8,667","15,211","1,554","22,381","223,503","14,268","2,853","78,587","157,137","2,390","24,947","1,324","2,013"
"                Filipino","6,362","25,945","43,273","4,758","1,288,497","18,438","12,836","4,320","2,607","108,338","26,945","213,048","3,836","128,259","15,092","5,610","6,272","7,134","8,583","2,036","50,231","14,607","25,221","12,290","4,617","13,800","2,597","4,149","130,708","3,049","116,127","9,730","116,148","26,246","2,451","22,225","7,029","21,153","27,819","3,308","13,308","2,062","12,576","137,238","9,131","932","76,614","110,300","2,607","11,059","1,159","121"
"                Japanese","2,891","1,377","10,253","1,153","260,003","10,602","3,497","811","942","15,580","9,429","173,351","2,533","17,174","6,023","1,223","2,147","3,284","1,859","583","6,847","9,794","13,377","4,233","870","3,069","861","1,872","12,395","820","13,423","1,743","35,787","7,573","466","10,486","2,161","13,044","5,664","825","2,823","465","4,898","24,870","5,678","382","11,055","36,248","747","2,780","441","15"
"                Korean","12,815","4,731","14,872","2,631","471,071","20,396","10,294","2,213","3,548","26,215","60,124","25,632","1,561","58,909","10,583","6,593","5,274","5,031","2,991","1,108","47,867","24,953","27,532","15,003","1,228","9,340","784","3,086","14,084","2,596","98,046","2,559","120,360","22,382","1,274","15,451","5,630","16,751","37,797","1,803","5,776","1,095","9,921","80,664","5,654","997","74,569","66,682","975","7,917","486","159"
"                Vietnamese","10,609","861","27,068","6,239","671,401","27,114","10,162","2,135","2,649","85,179","61,474","11,741","1,998","31,821","9,411","10,538","15,419","5,137","30,544","1,431","25,874","52,841","19,060","26,223","7,971","15,838","653","7,682","13,938","3,133","21,626","5,242","30,679","34,725","798","15,966","20,475","31,997","40,997","1,581","10,906","675","12,522","279,424","9,381","510","61,152","80,038","1,390","6,325","312","78"
"                Other Asian","9,755","10,624","30,919","14,023","750,612","40,756","27,728","4,362","3,468","81,530","68,004","60,934","5,906","101,513","43,319","27,274","24,432","19,299","12,839","3,318","75,960","79,094","61,645","147,863","3,302","19,384","1,251","16,888","26,052","8,452","82,282","4,547","317,617","63,146","4,005","55,361","24,705","32,287","84,177","12,349","12,346","4,417","28,241","254,105","19,877","3,227","121,900","98,867","2,211","78,639","683","336"
"            Native Hawaiian and Other Pacific Islander","1,702","10,766","13,979","10,627","148,278","8,192","1,262","383","359","13,065","6,894","153,485","3,016","5,111","2,276","4,182","2,196","3,961","2,172","228","2,928","2,406","2,915","2,338","1,129","8,468","581","1,175","21,810","513","3,303","1,705","9,131","7,119","1,194","3,899","6,760","17,272","4,426","689","4,545","753","4,312","24,608","29,086","165","5,313","50,902","683","2,862","433","245"
"                Native Hawaiian","854","1,325","4,402","477","23,863","2,573","359","65","175","2,976","1,900","93,745","1,198","2,160","740","484","296","856","651","51","870","994","819","641","187","1,682","178","387","8,596","168","722","785","3,217","2,244","479","1,114","1,240","3,943","1,582","104","1,482","130","1,447","5,683","1,976","89","1,441","7,316","255","568","214","23"
