"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,997,675","735,951","7,079,203","3,006,309","39,455,353","5,723,176","3,605,330","981,892","683,154","21,339,762","10,625,615","1,453,498","1,811,617","12,821,813","6,751,340","3,179,090","2,932,099","4,494,141","4,657,305","1,357,046","6,148,545","6,991,852","10,062,512","5,670,472","2,967,023","6,141,534","1,077,978","1,951,480","3,059,238","1,372,175","9,234,024","2,109,366","20,114,745","10,367,022","773,344","11,769,923","3,948,136","4,207,177","12,970,650","1,091,949","5,078,903","881,785","6,859,497","28,862,581","3,231,370","641,637","8,582,479","7,617,364","1,801,049","5,871,661","576,641","3,311,274"
"        Male","2,429,703","384,749","3,533,895","1,483,520","19,714,044","2,895,936","1,768,860","477,219","325,490","10,489,548","5,191,616","732,172","912,529","6,332,176","3,344,360","1,590,001","1,468,152","2,223,783","2,283,561","668,308","2,995,146","3,413,174","4,983,325","2,839,135","1,444,255","3,027,741","545,671","978,863","1,541,789","683,846","4,539,311","1,048,448","9,821,711","5,067,666","397,093","5,800,004","1,964,927","2,096,429","6,394,217","534,283","2,474,059","446,461","3,362,099","14,398,171","1,633,843","318,533","4,245,281","3,831,964","896,723","2,937,621","295,204","1,571,861"
"        Female","2,567,972","351,202","3,545,308","1,522,789","19,741,309","2,827,240","1,836,470","504,673","357,664","10,850,214","5,433,999","721,326","899,088","6,489,637","3,406,980","1,589,089","1,463,947","2,270,358","2,373,744","688,738","3,153,399","3,578,678","5,079,187","2,831,337","1,522,768","3,113,793","532,307","972,617","1,517,449","688,329","4,694,713","1,060,918","10,293,034","5,299,356","376,251","5,969,919","1,983,209","2,110,748","6,576,433","557,666","2,604,844","435,324","3,497,398","14,464,410","1,597,527","323,104","4,337,198","3,785,400","904,326","2,934,040","281,437","1,739,413"
"        Sex ratio (males per 100 females)","94.6","109.6","99.7","97.4","99.9","102.4","96.3","94.6","91.0","96.7","95.5","101.5","101.5","97.6","98.2","100.1","100.3","97.9","96.2","97.0","95.0","95.4","98.1","100.3","94.8","97.2","102.5","100.6","101.6","99.3","96.7","98.8","95.4","95.6","105.5","97.2","99.1","99.3","97.2","95.8","95.0","102.6","96.1","99.5","102.3","98.6","97.9","101.2","99.2","100.1","104.9","90.4"
"        Under 5 years","295,632","50,791","412,606","184,580","2,350,335","324,246","182,122","54,234","42,958","1,118,794","643,718","87,767","114,969","745,681","415,542","194,570","185,276","270,859","297,359","63,932","363,466","357,943","564,817","348,468","182,146","367,132","60,366","130,400","181,429","63,509","530,376","120,716","1,154,376","594,004","53,417","689,126","252,929","223,615","700,792","55,370","285,472","59,538","405,867","1,959,223","245,639","29,168","501,494","449,543","93,223","329,324","34,262","122,415"
"        5 to 9 years","301,814","53,270","440,221","195,648","2,434,113","347,653","196,540","56,481","35,069","1,147,901","686,126","86,980","126,381","781,334","435,910","204,850","202,756","279,548","300,857","69,530","377,194","371,837","594,919","369,345","188,097","380,122","64,963","134,936","190,962","68,766","557,847","132,955","1,131,385","627,382","52,305","712,811","266,855","241,313","733,404","57,333","306,986","62,223","415,626","2,041,691","266,567","32,564","518,860","473,106","100,375","353,613","37,814","159,264"
"        10 to 14 years","329,794","49,647","480,043","203,248","2,658,361","370,266","224,371","60,792","31,449","1,252,281","754,667","88,005","136,714","846,355","462,360","215,162","204,148","295,536","318,473","74,056","396,459","405,900","634,193","380,418","212,611","404,107","67,508","139,102","204,174","78,993","590,073","146,685","1,207,089","675,846","50,743","764,371","279,147","257,073","789,343","61,405","325,370","61,727","447,531","2,176,838","272,709","35,158","546,960","479,107","108,080","379,887","39,782","193,155"
"        15 to 19 years","329,732","47,081","476,470","203,530","2,588,625","369,984","245,790","61,884","36,641","1,227,017","752,682","79,517","130,056","850,104","471,419","219,617","206,145","296,028","301,053","79,853","394,588","466,649","662,727","369,931","210,730","401,712","66,874","136,774","185,258","88,329","584,965","142,194","1,243,126","698,427","50,587","777,556","269,963","251,743","831,360","74,799","330,915","59,943","438,290","2,083,480","259,821","43,586","561,964","458,844","110,523","387,828","37,649","210,295"
"        20 to 24 years","326,900","50,780","477,856","198,013","2,626,849","373,987","241,370","57,883","49,311","1,244,479","712,566","90,807","118,300","833,461","464,895","225,007","211,823","298,606","305,708","74,775","376,043","486,655","682,724","354,809","199,334","400,642","71,805","134,953","180,697","86,472","559,157","140,177","1,297,689","686,487","62,395","748,606","271,501","262,037","804,254","76,427","322,989","58,119","443,703","1,981,880","264,774","46,698","570,680","478,112","110,934","393,324","36,972","227,033"
"        25 to 34 years","647,247","116,525","966,670","388,499","5,941,622","889,933","445,861","127,878","155,714","2,742,442","1,461,985","202,540","235,303","1,751,542","878,932","394,731","377,981","581,740","647,235","162,251","829,899","990,623","1,299,035","756,215","380,627","814,351","138,091","255,107","442,799","171,559","1,179,836","280,505","2,904,643","1,376,001","114,503","1,543,258","535,616","592,788","1,701,098","151,218","660,600","113,476","937,154","4,180,029","470,489","75,375","1,175,445","1,152,156","210,924","735,155","75,736","419,212"
"        35 to 44 years","615,110","96,664","882,914","376,431","5,341,049","805,249","439,098","115,773","106,798","2,626,930","1,408,856","188,445","233,188","1,676,721","843,453","392,662","366,623","560,926","601,213","158,307","805,385","873,396","1,192,280","738,714","372,406","763,084","132,841","247,949","413,310","160,635","1,197,006","260,723","2,545,476","1,310,998","94,808","1,430,057","503,103","575,671","1,558,578","130,860","623,443","107,033","862,987","3,979,307","449,006","74,504","1,136,245","1,044,100","218,005","728,714","74,849","403,558"
"        45 to 54 years","633,931","87,719","838,963","364,713","5,043,403","712,196","488,283","121,235","73,601","2,735,230","1,410,815","175,158","207,825","1,640,483","838,946","371,831","337,255","573,036","555,655","179,107","820,246","919,430","1,282,178","688,596","364,118","744,131","121,522","221,511","396,434","187,228","1,265,171","241,097","2,597,124","1,361,474","80,914","1,478,888","459,972","517,524","1,650,190","141,011","638,085","96,062","885,621","3,575,796","337,187","81,221","1,119,597","939,276","232,672","732,579","65,218","430,651"
"        55 to 59 years","337,355","47,145","432,889","196,544","2,502,174","365,606","269,688","69,719","35,195","1,481,932","691,536","92,283","111,218","869,497","450,414","210,808","187,614","308,608","309,070","106,765","432,973","499,884","711,087","394,429","192,007","420,482","72,740","122,330","198,224","112,805","667,696","136,314","1,392,050","690,624","48,478","821,573","250,962","263,898","924,182","76,853","342,145","57,430","458,189","1,707,087","155,436","48,114","583,198","480,723","124,666","427,743","38,554","221,214"
"        60 to 64 years","335,733","46,141","426,712","189,742","2,298,943","344,802","252,028","69,638","33,219","1,415,791","622,832","93,207","110,565","813,900","431,922","209,310","188,450","294,403","298,236","107,649","402,402","463,504","705,496","368,030","192,016","411,935","78,814","122,647","183,544","103,743","607,381","138,459","1,311,628","659,544","46,996","798,875","242,256","278,390","915,659","78,087","341,401","59,450","446,339","1,556,452","151,574","50,118","539,436","484,625","132,772","406,416","39,265","220,552"
"        65 to 74 years","511,902","61,465","731,373","300,307","3,363,447","518,368","357,409","113,956","48,972","2,442,673","924,763","155,654","178,019","1,190,287","636,561","313,218","273,373","450,280","443,472","171,259","569,778","682,920","1,046,906","535,592","288,178","611,609","125,468","179,998","301,849","154,122","866,918","224,882","1,929,865","1,030,725","67,692","1,196,942","367,032","461,354","1,374,891","110,114","561,298","88,456","683,206","2,233,217","220,564","77,359","803,270","732,246","217,726","599,187","60,497","378,237"
"        75 to 84 years","248,809","22,095","379,268","150,237","1,581,471","212,622","173,149","53,708","23,968","1,359,110","408,963","73,914","80,285","567,251","293,573","153,189","128,191","209,934","200,049","77,635","266,730","314,284","478,070","250,322","137,072","299,669","56,604","84,545","136,718","67,763","428,642","103,127","948,788","474,201","33,554","563,390","182,204","198,601","666,554","53,719","254,150","39,629","324,326","1,003,614","101,510","34,149","381,237","314,679","102,538","274,164","26,240","236,797"
"        85 years and over","83,716","6,628","133,218","54,817","724,961","88,264","89,621","18,711","10,259","545,182","146,106","39,221","28,794","255,197","127,413","74,135","62,464","74,637","78,925","31,927","113,382","158,827","208,080","115,603","47,681","122,558","20,382","41,228","43,840","28,251","198,956","41,532","451,506","181,309","16,952","244,470","66,596","83,170","320,345","24,753","86,049","18,699","110,658","383,967","36,094","13,623","144,093","130,847","38,611","123,727","9,803","88,891"
