Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:630sXRhIcfwr2e4RdNtjKN,"Rewrite The Stars","Rewrite The Stars","Zac Efron,Zendaya",2017-11-17,217440,77,,1970-01-01T00:00:00Z,"musicale","Atlantic Records",0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,4
spotify:track:5bQFAKQF1mhcPPThw97kjw,"Fiołkowe Pole","PUŁAPKA NA MOTYLE","Sobel,Piotrek Lewandowski",2021-04-15,159253,60,,1970-01-01T00:00:00Z,"","Universal Music Polska Sp. z o.o.",0.685,0.289,5,-11.739,0,0.0418,0.552,0,0.147,0.626,144.927,4
spotify:track:2cKovq3l6OJjhVVDbVKOsr,"The Other Side","The Greatest Showman (Original Motion Picture Soundtrack)","Hugh Jackman,Zac Efron",2017-12-08,214373,76,,1970-01-01T00:00:00Z,"musicale","Atlantic Records",0.638,0.795,0,-8.45,1,0.302,0.00433,0.00139,0.153,0.31,153.99,4
spotify:track:5WCtoomAl0y1mgVh1Yuj0a,"Ultra Violet (Light My Way)","Achtung Baby (Deluxe Edition)","U2",1991-11-18,330506,56,,1970-01-01T00:00:00Z,"rock","Universal-Island Records Ltd.",0.481,0.705,1,-11.101,0,0.0313,0.000305,0.339,0.141,0.249,107.647,4
spotify:track:60xf8cX4vlfY2BcVMVAMj0,"Usta","JUNIPER","przyłu",2020-05-22,230400,0,,1970-01-01T00:00:00Z,"","QueQuality",0.744,0.566,3,-5.824,0,0.161,0.363,0,0.108,0.363,99.946,4
spotify:track:727Z2S2mtNH46CbP9EWPwY,"If You Love Her","If You Love Her","Forest Blakk",2020-09-30,217351,75,,1970-01-01T00:00:00Z,"słowo mówione","Atlantic Records",0.286,0.445,6,-8.087,1,0.0347,0.355,0,0.114,0.278,50.827,4
spotify:track:0y7vLhFzjiIDa7z5D9RChG,"nieważne","nieważne","Aymi",2021-04-17,145683,0,,1970-01-01T00:00:00Z,"","2701665 Records DK",0.707,0.648,8,-10.27,1,0.112,0.0327,0,0.288,0.309,95.001,4
spotify:track:4cOdK2wGLETKBW3PvgPWqT,"Never Gonna Give You Up","Whenever You Need Somebody","Rick Astley",1987-11-12,213573,8,,1970-01-01T00:00:00Z,"","BMG Rights Management (UK) Ltd",0.721,0.939,8,-11.823,1,0.0376,0.115,0.0000379,0.108,0.914,113.309,4
spotify:track:3hRV0jL3vUpRrcy398teAU,"The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,91,,1970-01-01T00:00:00Z,"","Play It Again Sam",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
spotify:track:7kbQE1Xbyf7kvcn4DVICiR,"Iris (Hold Me Close)","Songs Of Innocence","U2",2014-01-01,319457,45,,1970-01-01T00:00:00Z,"rock","Universal-Island Records Ltd.",0.513,0.781,4,-9.606,0,0.0348,0.00784,0.0336,0.16,0.102,126.974,4
spotify:track:1F43XlPBiwAUUIhrUGzylO,"Never Ending Story","Don't Suppose","Limahl",2009-09-25,212173,67,,1970-01-01T00:00:00Z,"synthpop","Parlophone UK",0.599,0.622,0,-13.971,1,0.0296,0.359,0.00235,0.114,0.851,122.312,4
spotify:track:52okn5MNA47tk87PeZJLEL,"Let You Down","Perception","NF",2017-10-06,212120,80,,1970-01-01T00:00:00Z,"chrześcijański hip-hop","NF Real Music",0.661,0.714,5,-5.68,0,0.121,0.314,0,0.179,0.464,147.998,4
spotify:track:3AJwUDP919kvQ9QcozQPxg,"Yellow","Parachutes","Coldplay",2000-07-10,266773,93,,1970-01-01T00:00:00Z,"","Parlophone UK",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
spotify:track:1hUPOCqOukEl03lOs16DtN,"Lover Of Mine","CALM","5 Seconds of Summer",2020-03-27,206973,61,,1970-01-01T00:00:00Z,"","5 Seconds Of Summer/Interscope",0.545,0.858,11,-2.536,0,0.0406,0.194,0,0.151,0.323,94.041,3
spotify:track:4nXYb4yc3c1a3NWqdpDrnd,"Get Out Of Your Own Way","Songs Of Experience (Deluxe Edition)","U2",2017-12-01,238293,48,,1970-01-01T00:00:00Z,"rock","Universal-Island Records Ltd.",0.564,0.781,2,-9.697,1,0.0517,0.0273,0.0000494,0.561,0.415,130.035,4
spotify:track:4huKZSBZ0UJt2RWwB8PEWU,"COCO","COCO","mgng,MASNY BEN,MRGH.",2021-08-17,137992,51,,1970-01-01T00:00:00Z,"","gng",0.763,0.734,9,-9.773,1,0.0519,0.18,0.0000508,0.112,0.346,129.993,4
spotify:track:6l3vk93IWfe0wq396JTCM6,"Over Again","Take Me Home (Expanded Edition)","One Direction",2012-11-12,182040,65,,1970-01-01T00:00:00Z,"","Syco Music",0.373,0.575,2,-6.862,1,0.0915,0.302,0,0.125,0.5,72.595,4
spotify:track:2ihCaVdNZmnHZWt0fvAM7B,"Little Talks","My Head Is An Animal","Of Monsters and Men",2012-01-01,266600,83,,1970-01-01T00:00:00Z,"folk-pop","Universal Records",0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,4
spotify:track:45aBsnKRWUzhwbcqOJLwfe,"This Is Me","The Greatest Showman (Original Motion Picture Soundtrack)","Keala Settle,The Greatest Showman Ensemble",2017-12-08,234706,75,,1970-01-01T00:00:00Z,"musicale","Atlantic Records",0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,4
spotify:track:7eBYMVok43QesT0KnuIkjn,"BUBBLETEA","ROMANTIC PSYCHO","Quebonafide,Duit,Daria Zawiałow",2020-04-02,284000,0,,1970-01-01T00:00:00Z,"","QueQuality",0.664,0.739,9,-7.207,0,0.207,0.541,0,0.139,0.438,98.091,4
spotify:track:3ebfDw8WEbf0DxGh47R2lo,"I Miss The Days","The Search","NF",2019-07-26,269184,66,,1970-01-01T00:00:00Z,"chrześcijański hip-hop","NF Real Music",0.719,0.768,11,-5.658,0,0.19,0.345,0,0.104,0.0979,137.887,4
spotify:track:3xlk3SVStmEGEWx5FtqpkW,"Melodia","Królowa dram","sanah",2020-05-08,183339,58,,1970-01-01T00:00:00Z,"","Universal Music Polska Sp. z o.o. (Magic Records)",0.484,0.513,0,-7.424,0,0.0416,0.611,0,0.15,0.383,159.995,4
