Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Danza Kuduro","Meet The Orphans","Don Omar,Lucenzo",2010-01-01,198773,86,,1970-01-01T00:00:00Z,"reggaeton,urbano latino","UMLE - Machete",0.4,0.915,0,-4.89,1,0.279,0.083,0,0.0503,0.871,89.006,3
spotify:track:588RMl8oOgfvLFlsP154fD,"Żyję marzeniami","Żyję marzeniami","M0LLY",2021-07-30,193979,48,,1970-01-01T00:00:00Z,"","M0LLY",0.636,0.742,2,-6.917,0,0.339,0.126,0,0.104,0.704,165.962,4
spotify:track:1zv3WFUbZ5vPxFq9I2jAU1,"We Found Love","Talk That Talk (Explicit)","Rihanna,Calvin Harris",2011-01-01,215226,64,,1970-01-01T00:00:00Z,"edm","Def Jam Recordings",0.735,0.766,1,-4.485,1,0.0383,0.025,0.00141,0.108,0.6,127.975,4
spotify:track:1y6dEjheBdnopNo0xDXJ9P,"Scars leave beautiful trace","Alchemy of Souls, Pt. 1 (Original Television Soundtrack)","Car, the garden",2022-06-26,213946,55,,1970-01-01T00:00:00Z,"ballady k-popowe","Genie Music Corporation",0.479,0.535,11,-6.676,0,0.03,0.49,0,0.0923,0.21,82.024,4
spotify:track:6lV2MSQmRIkycDScNtrBXO,"Airplanes (feat. Hayley Williams of Paramore)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Hayley Williams",2010-04-27,180480,79,,1970-01-01T00:00:00Z,"art pop","Rebel Rock/Grand Hustle/Atlantic",0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,4
spotify:track:7tCN7OfyeUVHQvC0ch62MS,"(Po)ciąg dalszy nastąpi","Czarno na białym","Gibbs",2021-09-30,265966,56,,1970-01-01T00:00:00Z,"","DOPEHOUSE",0.602,0.547,8,-11.414,0,0.478,0.706,0,0.0966,0.797,119.929,4
spotify:track:2gT72HL4Y84K2Mle3miAMJ,"DiE4u","DiE4u","Bring Me The Horizon",2021-09-16,207141,59,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post hardcore,metal","RCA Records Label",0.355,0.919,7,-3.771,1,0.356,0.00234,0.000313,0.262,0.259,159.922,4
spotify:track:003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,90,,1970-01-01T00:00:00Z,"rock alternatywny","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
spotify:track:4D7BCuvgdJlYvlX5WlN54t,"You're On Your Own, Kid","Midnights","Taylor Swift",2022-10-21,194206,79,,1970-01-01T00:00:00Z,"","Taylor Swift",0.696,0.39,2,-10.331,1,0.0616,0.447,0.0000155,0.125,0.395,120.032,4
spotify:track:2pEWfsg9D3Uv9Lf7yNZxCW,"Zszedłem Ze Sceny","Muzyka Komercyjna","Pezet,Piotrek Lewandowski,ZeIN,Wardza20k,Franklin",2022-09-30,171678,57,,1970-01-01T00:00:00Z,"","2022 Pezet",0.76,0.778,6,-7.302,0,0.188,0.512,0.00984,0.124,0.498,137.168,4
spotify:track:4iz9lGMjU1lXS51oPmUmTe,"Homecoming","Graduation","Kanye West,Chris Martin",2007-09-11,203493,83,,1970-01-01T00:00:00Z,"rap","Roc-A-Fella",0.67,0.747,1,-7.059,1,0.189,0.337,0,0.115,0.918,86.918,4
spotify:track:6QcOEPC0bX799hITIgj3vU,"Bad Omens","5SOS5","5 Seconds of Summer",2022-09-23,215734,64,,1970-01-01T00:00:00Z,"","BMG Rights Management (US) LLC",0.493,0.772,1,-6.315,1,0.051,0.0000645,0.0000185,0.0925,0.412,133.973,3
spotify:track:0ZNU020wNYvgW84iljPkPP,"mirrorball","folklore","Taylor Swift",2020-07-24,208977,75,,1970-01-01T00:00:00Z,"","Taylor Swift",0.553,0.413,2,-10.037,1,0.0334,0.687,0.00000233,0.0594,0.379,110.107,4
spotify:track:11Z7oHnQzt8iwfkQwHZ70I,"Piękny Świat","DOPEHOUSE MIXTAPE","Gibbs,Kiełas",2022-08-25,233425,66,,1970-01-01T00:00:00Z,"","DOPEHOUSE",0.509,0.765,4,-9.142,0,0.0763,0.0703,0.000504,0.164,0.274,90.356,4
spotify:track:7LR85XLWw2yXqKBSI5brbG,"Run This Town","The Blueprint 3","JAY-Z,Rihanna,Kanye West",2009-09-08,267520,81,,1970-01-01T00:00:00Z,"hip-hop,east coast hip-hop,rap","Roc Nation / Jay-Z",0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,4
spotify:track:21TcDbGosp7w9YhTjOszgA,"Imagination","Handwritten (Deluxe)","Shawn Mendes",2015-04-14,217773,75,,1970-01-01T00:00:00Z,"","Island Records",0.64,0.455,0,-5.942,1,0.0247,0.0743,0,0.0694,0.333,89.948,4
spotify:track:3TFoEJe5zNuHZStRboWPxg,"People Watching","Superache","Conan Gray",2022-06-24,158536,74,,1970-01-01T00:00:00Z,"","Republic Records",0.53,0.592,5,-7.281,1,0.0534,0.381,0,0.294,0.544,125.721,4
spotify:track:7bKTYD3I09ooHVVIPT8TVs,"jak nie wrócę po północy","spokój.","Kuban,Szpaku",2023-03-24,152000,46,,1970-01-01T00:00:00Z,"","dobzi ludzie.",0.879,0.559,1,-6.529,1,0.0803,0.177,0.0000477,0.117,0.332,120.02,4
