Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4GK6sMfk27GRgdjXVspwjM,"Stick Me in My Heart","With Us Until You're Dead","Archive",2012-08-20,237080,21,,1970-01-01T00:00:00Z,"trip hop","[PIAS] Cooperative",0.464,0.416,1,-13.78,1,0.0438,0.743,0.0000151,0.179,0.158,139.875,4
spotify:track:4sNwdacKyi2S26WrRtNama,"Oh No!","The Family Jewels","MARINA",2009-07-15,182586,74,,1970-01-01T00:00:00Z,"","WM UK",0.77,0.896,0,-3.971,1,0.039,0.0539,0,0.243,0.964,126.999,4
spotify:track:2K7xn816oNHJZ0aVqdQsha,"Softcore","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,206280,88,,1970-01-01T00:00:00Z,"","Columbia",0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4
spotify:track:5fpq1wF8xa5tSSlcKHdmGQ,"sTraNgeRs","sTraNgeRs","Bring Me The Horizon",2022-07-06,195747,63,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post hardcore,metal","RCA Records Label",0.346,0.939,5,-3.061,1,0.182,0.000231,0,0.433,0.526,183.147,3
spotify:track:6KBC3UajDo3PclG3eNEfFp,"anioły","Bufor","Jan-Rapowanie,Misia Furtak",2022-03-11,166334,0,,1970-01-01T00:00:00Z,"","SBM Label",0.787,0.48,7,-9.093,1,0.0582,0.769,0.00528,0.1,0.0614,100.059,4
spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,"Stressed Out","Blurryface","Twenty One Pilots",2015-05-15,202333,88,,1970-01-01T00:00:00Z,"","Fueled By Ramen",0.734,0.637,4,-5.677,0,0.141,0.0462,0.0000229,0.0602,0.648,169.977,4
spotify:track:6Db8IlZ7YY1pfIjJllejyH,"Hailie's Song","The Eminem Show","Eminem",2002-05-26,320640,66,,1970-01-01T00:00:00Z,"rap,hip-hop","Aftermath",0.787,0.731,7,-3.295,1,0.156,0.0168,0.000087,0.0839,0.511,80.98,4
spotify:track:5d1077WXgxjHCYa337LHHv,"Bad Life","How To Let Go","Sigrid,Bring Me The Horizon",2022-05-06,226867,51,,1970-01-01T00:00:00Z,"norweski pop,metalcore,emo,screamo,rock,post hardcore,metal","Universal-Island Records Ltd.",0.557,0.583,4,-4.127,1,0.0308,0.124,0,0.187,0.215,95.349,4
spotify:track:6NQ83ioZQLARpVmW3mVA7C,"2 IZOTEKI","2 IZOTEKI","Mata",2023-01-23,158881,0,,1970-01-01T00:00:00Z,"","SBM Label",0.421,0.675,8,-6.609,1,0.131,0.394,0,0.346,0.363,71.454,4
spotify:track:5P55cj0rKTa3aZijhAhGNd,"szkoda","Bufor","Jan-Rapowanie",2022-03-11,158117,0,,1970-01-01T00:00:00Z,"","SBM Label",0.67,0.435,2,-9.977,0,0.357,0.406,0,0.08,0.152,170.008,3
spotify:track:0z3GnQC4I6HDNHM16Cgvj8,"Mieć czy być","Happiness Is Easy","Myslovitz",2006-05-12,192160,61,,1970-01-01T00:00:00Z,"","Parlophone Poland",0.534,0.763,4,-6.064,0,0.028,0.000795,0.0000186,0.238,0.576,137.967,4
spotify:track:6qXM63MqfsATteIuCVMXvu,"Man's World","Ancient Dreams In A Modern Land","MARINA",2021-06-11,207226,61,,1970-01-01T00:00:00Z,"","Atlantic Records",0.496,0.709,5,-5.684,0,0.0307,0.401,0,0.0718,0.226,110.078,4
spotify:track:3aUp8U4MNWctRXlY5MPysv,"The Monster","The Marshall Mathers LP2","Eminem,Rihanna",2013-01-01,250188,59,,1970-01-01T00:00:00Z,"rap,hip-hop","Aftermath",0.781,0.853,1,-3.68,0,0.0714,0.0526,0,0.12,0.626,110.046,4
spotify:track:086myS9r57YsLbJpU0TgK9,"Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-09,161123,87,,1970-01-01T00:00:00Z,"indie,garage rock","Domino Recording Co",0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,"California Dreamin' - Single Version","If You Can Believe Your Eyes & Ears","The Mamas & The Papas",1966-03,162373,80,,1970-01-01T00:00:00Z,"folk rock","Geffen*",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,4
spotify:track:1poukvcQUt0It0NT2ZI9Ia,"Holding On To Heartache","Faith In The Future (Deluxe)","Louis Tomlinson",2022-11-11,210226,57,,1970-01-01T00:00:00Z,"","BMG Rights Management (UK) Ltd.",0.578,0.595,9,-5.725,1,0.0276,0.195,0,0.0992,0.504,92.002,4
spotify:track:6qmOIPY1hjPAyqUh7dJKdR,"Alexander","Miłość w czasach popkultury","Myslovitz",1999,241653,53,,1970-01-01T00:00:00Z,"","Sony Music Entertainment",0.354,0.827,7,-6.333,1,0.0419,0.00016,0.00264,0.214,0.417,112.027,4
spotify:track:561jH07mF1jHuk7KlaeF0s,"Mockingbird","Encore (Deluxe Version)","Eminem",2004-11-12,250760,88,,1970-01-01T00:00:00Z,"rap,hip-hop","Aftermath",0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4
spotify:track:0HEzuLLojblUOaUSdmJ9gl,"Did you know that there's a tunnel under Ocean Blvd","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey",2023-03-24,285050,71,,1970-01-01T00:00:00Z,"","Polydor Records",0.441,0.326,0,-9.381,1,0.0299,0.751,0.0168,0.12,0.0526,119.999,4
spotify:track:1VoUHMVxu1qG2Z9josOhWs,"w aucie noc i 90bpm","Ogrody Mixtape 3","Kukon,Baltik Beatz,Phunk'ill",2022-12-23,146666,53,,1970-01-01T00:00:00Z,"","Piękny Syf",0.819,0.614,6,-7.878,1,0.256,0.588,0.00000289,0.202,0.746,90.033,4
spotify:track:70LcF31zb1H0PyJoS1Sx1r,"Creep","Pablo Honey","Radiohead",1993-02-22,238640,91,,1970-01-01T00:00:00Z,"art rock,rock alternatywny","XL Recordings",0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
spotify:track:5qykEZTHAcplCLrynoLRnN,"In Your Head","Revival","Eminem",2017-12-15,182640,58,,1970-01-01T00:00:00Z,"rap,hip-hop","Aftermath",0.647,0.778,1,-5.257,1,0.224,0.00164,0,0.389,0.252,82.918,4
spotify:track:6GGtHZgBycCgGBUhZo81xe,"Say Yes To Heaven","Say Yes To Heaven","Lana Del Rey",2023-05-19,209156,87,,1970-01-01T00:00:00Z,"","Polydor Records",0.485,0.348,6,-11.576,0,0.0257,0.678,0.167,0.118,0.145,99.898,4
spotify:track:3YmZVcLHWCjMlHfLaM7nTf,"Pink Slips","Pink Slips","Jenna Doe",2021-07-13,192320,40,,1970-01-01T00:00:00Z,"","jennadoe",0.571,0.619,1,-6.612,0,0.0558,0.186,0.0000777,0.0744,0.152,126.953,4
spotify:track:5ytkHKps6RVVDFZwAqVDCB,"Długość dźwięku samotności","Miłość w czasach popkultury","Myslovitz",1999,251053,65,,1970-01-01T00:00:00Z,"","Sony Music Entertainment",0.552,0.689,5,-6.475,1,0.0266,0.352,0.0000851,0.0865,0.652,98.097,4
spotify:track:32yaRngoDZcF56ApmNaBNz,"Broken","Fever Dream","Palaye Royale",2022-10-28,190456,49,,1970-01-01T00:00:00Z,"","Sumerian Records",0.479,0.717,11,-6.527,0,0.0702,0.138,0,0.0895,0.35,140.146,4
spotify:track:4zmKGsrXjLmljb5fTaBTot,"Snow On The Beach (feat. More Lana Del Rey)","Midnights (The Til Dawn Edition)","Taylor Swift,Lana Del Rey",2023-05-26,229942,74,,1970-01-01T00:00:00Z,"","Taylor Swift",0.664,0.399,6,-10.997,0,0.0349,0.797,0.00000313,0.105,0.265,109.937,4
spotify:track:77eqkdC6DXRUIT09syzW5d,"Peron","Milosc","Jamal",2013-10-04,195040,55,,1970-01-01T00:00:00Z,"disco polo","Parlophone Poland",0.758,0.586,4,-8.563,0,0.0597,0.281,0.000146,0.113,0.607,126.002,4
spotify:track:5hnyJvgoWiQUYZttV4wXy6,"Chasing Cars","Eyes Open","Snow Patrol",2006-01-01,267960,85,,1970-01-01T00:00:00Z,"","Polydor Records",0.561,0.595,9,-4.53,1,0.0274,0.199,0.0000647,0.132,0.144,104.006,4
spotify:track:0rzaRSujxA0bKyjJl6vHYq,"Satellite","Harry's House","Harry Styles",2022-05-20,218577,77,,1970-01-01T00:00:00Z,"","Columbia",0.576,0.457,0,-6.473,1,0.0304,0.143,0.0000305,0.0917,0.301,138.984,4
spotify:track:0Oqxt6JixieLHbwMfnJGWO,"Paris, Texas (feat. SYML)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey,SYML",2023-03-24,206722,75,,1970-01-01T00:00:00Z,"","Polydor Records",0.287,0.102,0,-17.529,0,0.0334,0.985,0.0559,0.109,0.198,170.253,3
spotify:track:29DR7RKR6iAbWbjM9SQRu8,"Danse Macabre","Perypetie","CatchUp",2021-08-20,137142,42,,1970-01-01T00:00:00Z,"","2020",0.788,0.505,8,-10.073,1,0.187,0.216,0.0000159,0.159,0.292,105.046,4
spotify:track:0XHGKdViVybbZKqEZ2tXqV,"Beds Are Burning","Diesel And Dust","Midnight Oil",1986,254626,51,,1970-01-01T00:00:00Z,"surf rock","Columbia",0.758,0.41,0,-11.8,1,0.0404,0.013,0.000101,0.0875,0.339,119.197,4
spotify:track:2tsM4FRW70JW2xtGc3oZqZ,"Bad Habits (feat. Bring Me The Horizon)","= (Tour Edition)","Ed Sheeran,Bring Me The Horizon",2020,250763,41,,1970-01-01T00:00:00Z,"soft pop,metalcore,emo,screamo,rock,post hardcore,metal","Atlantic Records UK",0.59,0.849,11,-4.691,0,0.0792,0.0305,0,0.11,0.178,131.018,4
spotify:track:6suRRwX61xSMfU7wJuCVdy,"For Reasons Unknown","Sam's Town","The Killers",2006-09-27,212266,65,,1970-01-01T00:00:00Z,"rock alternatywny","Island Records",0.504,0.884,3,-4.214,1,0.0366,0.000458,0.0399,0.108,0.516,140.398,4
spotify:track:2TxCwUlqaOH3TIyJqGgR91,"Mamma Mia","Abba","ABBA",1975,213266,81,,1970-01-01T00:00:00Z,"","Polar Music International AB",0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,4
spotify:track:0upFohXrGxIIAjyaJmCkMU,"Tokyo Drift (Fast & Furious) - From The Fast And The Furious: Tokyo Drift Soundtrack","Tokyo Drift (Fast & Furious)","Teriyaki Boyz",2006-01-01,255946,75,,1970-01-01T00:00:00Z,"","Universal (MT)",0.757,0.892,6,-5.321,1,0.124,0.178,0.0000419,0.0719,0.936,127.014,4
spotify:track:3Dy07p97LjFWvMMsEDFi7a,"Bliźniaczki","Radio Taxi","Kukon",2019-10-19,188450,0,,1970-01-01T00:00:00Z,"","Soul Records",0.733,0.604,9,-10.556,1,0.24,0.506,0,0.0878,0.492,131.992,4
spotify:track:2OQJKTtrH482waGFmOfJni,"We Own It (Fast & Furious)","B.O.A.T.S. II #METIME (Deluxe)","2 Chainz,Wiz Khalifa",2013-01-01,227906,71,,1970-01-01T00:00:00Z,"southern hip-hop,rap","Def Jam Recordings",0.563,0.902,1,-4.586,0,0.404,0.0545,0,0.0524,0.557,172.004,4
spotify:track:3hRV0jL3vUpRrcy398teAU,"The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,91,,1970-01-01T00:00:00Z,"","Play It Again Sam",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
spotify:track:4WpmwEdc4RBos8W8icSSxW,"Moonlight Shadow","The Mike Oldfield Collection","Mike Oldfield",2009-01-01,218186,70,,1970-01-01T00:00:00Z,"rock progresywny,new age,rock symfoniczny","UMC (Universal Music Catalogue)",0.611,0.72,4,-8.359,1,0.0259,0.291,0,0.356,0.8,128.594,4
spotify:track:1MhXdlCQPnO56T57MfmaRm,"Ghost Of You","Youngblood (Deluxe)","5 Seconds of Summer",2018-06-15,197411,72,,1970-01-01T00:00:00Z,"","Capitol",0.459,0.561,10,-4.819,1,0.0269,0.0965,0,0.156,0.206,149.876,3
spotify:track:5BI0zQZciyoQfJxsu8CIn9,"Never Ending Song","Never Ending Song","Conan Gray",2023-05-19,155202,55,,1970-01-01T00:00:00Z,"","Republic Records",0.575,0.777,2,-6.602,1,0.0337,0.00544,0.000126,0.328,0.575,141.91,4
spotify:track:1YKxbSgpL00ipiFvG3OWfN,"Silver Tongues","Faith In The Future (Deluxe)","Louis Tomlinson",2022-11-11,205186,57,,1970-01-01T00:00:00Z,"","BMG Rights Management (UK) Ltd.",0.492,0.822,2,-4.892,1,0.0647,0.0101,0,0.0793,0.409,159.991,4
spotify:track:6Iocm6VMu6bVNYwiDoyQFW,"Coming Home","Last Train To Paris","Diddy - Dirty Money,Skylar Grey",2010-01-01,238693,68,,1970-01-01T00:00:00Z,"","Bad Boy / Interscope",0.392,0.839,7,-1.921,1,0.193,0.158,0,0.3,0.232,168.001,4
spotify:track:7JJshKQ0Wlu6bZwqamulCE,"Me, Myself & I","5SOS5","5 Seconds of Summer",2022-09-23,177879,63,,1970-01-01T00:00:00Z,"","BMG Rights Management (US) LLC",0.575,0.556,4,-5.107,1,0.0283,0.0303,0,0.0903,0.44,87.991,4
spotify:track:3SWGtKHaCFEUqfm9ydUFVw,"Disaster","Superache","Conan Gray",2022-06-24,153096,63,,1970-01-01T00:00:00Z,"","Republic Records",0.614,0.81,0,-5.184,1,0.0926,0.0101,0,0.0832,0.605,171.09,4
spotify:track:0zYP35FfMItfaP6c9gcQZB,"Way Back Into Love","Music And Lyrics - Music From and Inspired By The Motion Picture (International Release)","Hugh Grant,Haley Bennett",2006-02-13,277853,63,,1970-01-01T00:00:00Z,"","Atlantic Records",0.281,0.675,10,-6.033,1,0.0353,0.0399,0,0.129,0.565,203.473,4
spotify:track:1vtURA0pqFcdTKHbbYo0hS,"That's The Way Love Goes","Faith In The Future (Deluxe)","Louis Tomlinson",2022-11-11,150666,52,,1970-01-01T00:00:00Z,"","BMG Rights Management (UK) Ltd.",0.583,0.358,6,-6.269,1,0.0312,0.562,0,0.109,0.323,120.046,4
spotify:track:3guHFX9hZvqKCzP412RFbg,"Nienawiść","Miłość w czasach popkultury","Myslovitz",1999,227786,49,,1970-01-01T00:00:00Z,"","Sony Music Entertainment",0.387,0.725,0,-5.351,1,0.0432,0.00174,0.00314,0.158,0.579,128.252,4
spotify:track:2ihCaVdNZmnHZWt0fvAM7B,"Little Talks","My Head Is An Animal","Of Monsters and Men",2012-01-01,266600,83,,1970-01-01T00:00:00Z,"folk-pop,indie folk","Universal Records",0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,4
spotify:track:0Qc78jjiHk3vIQdHffFyIG,"Easy For You To Say","5SOS5","5 Seconds of Summer",2022-09-23,240031,54,,1970-01-01T00:00:00Z,"","BMG Rights Management (US) LLC",0.527,0.709,7,-6.024,1,0.0374,0.0832,0,0.33,0.359,124.02,4
spotify:track:15JINEqzVMv3SvJTAXAKED,"Love The Way You Lie","Recovery","Eminem,Rihanna",2010-06-18,263373,87,,1970-01-01T00:00:00Z,"rap,hip-hop","Aftermath",0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,4
spotify:track:4VL310GGX3b2ixL3sV0Je8,"Kintsugi","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey",2023-03-24,378951,59,,1970-01-01T00:00:00Z,"","Polydor Records",0.419,0.0904,9,-16.158,1,0.0419,0.984,0.0048,0.243,0.173,101.112,4
spotify:track:63G4VoVqJ1LN6bAfh2KhGP,"Powiedz mi, że nie chcesz","Comfort and Happiness (10th Anniversary Edition)","Dawid Podsiadło",2023-05-26,211426,36,,1970-01-01T00:00:00Z,"","Sony Music Entertainment",0.608,0.571,9,-10.711,0,0.0293,0.348,0.0121,0.153,0.248,119.997,4
spotify:track:6U0D8PIh75fnX6T6TWJLxl,"Jet Black Heart","Sounds Good Feels Good (Deluxe)","5 Seconds of Summer",2015-10-23,221715,59,,1970-01-01T00:00:00Z,"","Capitol",0.506,0.85,11,-4.273,0,0.033,0.000163,0,0.0812,0.545,153.96,4
spotify:track:5CsDo9j3N4yFZNCN1h9loS,"Never Enough","Encore (Deluxe Version)","Eminem,50 Cent,Nate Dogg",2004-11-12,159786,72,,1970-01-01T00:00:00Z,"rap,hip-hop,east coast hip-hop,g-funk,west coast hip-hop","Aftermath",0.777,0.716,11,-5.327,1,0.347,0.294,0,0.665,0.593,95.756,4
spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Until I Found You (with Em Beihold) - Em Beihold Version","Until I Found You (Em Beihold Version)","Stephen Sanchez,Em Beihold",2022-04-22,176440,82,,1970-01-01T00:00:00Z,"","Republic Records",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
spotify:track:0EBvRI3CqPYRWAkzHdGaeU,"Untouchable, Pt. 1 - Live","Universal","Anathema",2013-09-23,416413,26,,1970-01-01T00:00:00Z,"doom metal,gotycki metal,rock progresywny,metal progresywny","Kscope",0.377,0.67,0,-8.685,0,0.0378,0.00759,0.00046,0.27,0.0563,123.554,4
spotify:track:34ebeHWIGQrAt99L1R2Kyn,"Fuck U","Noise","Archive",2004-01-01,311986,47,,1970-01-01T00:00:00Z,"trip hop","Dangervisit",0.58,0.782,9,-5.86,0,0.0363,0.0902,0.00000221,0.322,0.182,100.025,4
spotify:track:0j2T0R9dR9qdJYsB7ciXhf,"Stronger","Graduation","Kanye West",2007-09-11,311866,84,,1970-01-01T00:00:00Z,"rap","Roc-A-Fella",0.617,0.716,1,-7.858,1,0.136,0.0056,0,0.408,0.496,104.014,4
spotify:track:33HucJaMg7OBQLqmaVx58p,"Video Games","Born To Die (Deluxe Version)","Lana Del Rey",2011-01-01,281946,62,,1970-01-01T00:00:00Z,"","Polydor Records",0.368,0.257,6,-9.681,0,0.0301,0.806,0.0000011,0.0886,0.17,121.724,4
spotify:track:5YbPxJwPfrj7uswNwoF1pJ,"Last Last","Love, Damini","Burna Boy",2022-07-07,172342,72,,1970-01-01T00:00:00Z,"afrobeats,afrobeat,afro pop,afroswing,dancehall,afropiano","Spaceship/ Bad Habit/Atlantic Records",0.795,0.565,3,-4.457,0,0.0948,0.131,0,0.0802,0.55,87.925,4
spotify:track:08KAB8LahxJB28HExOmPnL,"Shapeshift","Shapeshift","Jenna Doe",2022-01-26,145173,40,,1970-01-01T00:00:00Z,"","jennadoe",0.528,0.422,9,-7.641,1,0.0648,0.531,0,0.1,0.321,171.751,4
spotify:track:0gEyKnHvgkrkBM6fbeHdwK,"Linger","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,274706,86,,1970-01-01T00:00:00Z,"","Island Records",0.439,0.434,7,-14.918,1,0.0265,0.0783,0.0000518,0.14,0.204,94.843,4
spotify:track:4pvb0WLRcMtbPGmtejJJ6y,"exile (feat. Bon Iver)","folklore","Taylor Swift,Bon Iver",2020-07-24,285634,81,,1970-01-01T00:00:00Z,"indie folk","Taylor Swift",0.298,0.38,6,-8.426,1,0.0287,0.778,0.0000562,0.11,0.152,75.602,4
spotify:track:7GOT4FbugnyjaJgdlmFrVj,"Serial Killer","Serial Killer","Richardi",2023-10-06,262374,0,,1970-01-01T00:00:00Z,"","6072408 Records DK",0.515,0.544,4,-9.542,1,0.0884,0.0263,0.0000816,0.212,0.448,170.035,4
spotify:track:0JBhtS8zMP6QZFdSCzRjUa,"Laid","Laid","The Pains Of Being Pure At Heart",2015-10-30,170444,45,,1970-01-01T00:00:00Z,"dream pop,shoegaze,jangle pop","Painbow",0.458,0.826,4,-4.778,1,0.0394,0.0012,0.000762,0.0925,0.245,116.016,4
spotify:track:2pLqMA9nKEHLLfBGHroLOh,"Paranoid","Fever Dream","Palaye Royale",2022-10-28,257812,49,,1970-01-01T00:00:00Z,"","Sumerian Records",0.426,0.823,0,-6.257,1,0.0791,0.0358,0,0.121,0.264,148.829,4
spotify:track:0RM8O4t1Bhm5kqp0v6bdlp,"na okrągło","spokój.","Kuban,Favst",2023-03-24,188181,57,,1970-01-01T00:00:00Z,"","dobzi ludzie.",0.719,0.526,7,-8.337,1,0.253,0.33,0.00000389,0.078,0.428,175.891,4
spotify:track:4O0uBW6WrU0v6p8ib8uT2N,"See What's On The Inside","See What’s On The Inside","Asking Alexandria",2021-10-01,276246,46,,1970-01-01T00:00:00Z,"metalcore,screamo,post hardcore,metal,emo,emocore","Better Noise Music",0.392,0.928,6,-3.438,1,0.0697,0.00312,0,0.0953,0.282,149.745,4
spotify:track:0iGelfDkI8pmXgZSXU9Iul,"ŁAWKA Z CHŁOPAKAMI","Bufor","Jan-Rapowanie",2022-03-11,166856,0,,1970-01-01T00:00:00Z,"","SBM Label",0.72,0.515,7,-9.124,1,0.229,0.179,0,0.0822,0.447,163.882,4
spotify:track:1GjbTNFImFrjFsNdleDe78,"Never Tear Us Apart","Kick (Remastered 2011)","INXS",1987,184586,76,,1970-01-01T00:00:00Z,"","Petrol Records",0.664,0.613,0,-7.56,1,0.0273,0.00294,0.000129,0.175,0.193,96.6,3
spotify:track:6jrhM7a1WutMCrxstNERAS,"pamiętam siebie","spokój.","Kuban,Bedoes 2115,Favst",2023-03-24,153448,43,,1970-01-01T00:00:00Z,"","dobzi ludzie.",0.715,0.527,5,-8.319,1,0.215,0.504,0.0000215,0.143,0.819,173.863,4
spotify:track:0V3wPSX9ygBnCm8psDIegu,"Anti-Hero","Midnights","Taylor Swift",2022-10-21,200690,84,,1970-01-01T00:00:00Z,"","Taylor Swift",0.633,0.648,4,-6.645,1,0.062,0.121,0.00000262,0.161,0.49,96.888,4
spotify:track:0PZ04XgQ14FmKZBg3Gxlhr,"Radio","Born To Die (Deluxe Version)","Lana Del Rey",2011-01-01,214586,52,,1970-01-01T00:00:00Z,"","Polydor Records",0.449,0.837,2,-5.248,1,0.057,0.223,0.0000299,0.0878,0.207,75.033,4
