Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3hRV0jL3vUpRrcy398teAU,"The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,91,,2020-11-27T11:02:12Z,"","Play It Again Sam",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
spotify:track:4M2wPuAl7FgUIrUvlJBMOU,"Jesteś ładniejsza niż na zdjęciach (na zawsze)","Jesteś ładniejsza niż na zdjęciach (na zawsze)","Bedoes 2115,Lanek",2019-10-17,215945,0,,2020-11-27T11:02:12Z,"","SBM Label",0.685,0.442,1,-10.256,0,0.0521,0.703,0,0.117,0.204,113.413,4
spotify:track:3kWxHkGNqsToeOpCHZvkwk,"FPS","Opowieści z Doliny Smoków","Bedoes 2115,Lanek",2019-11-29,155960,0,,2020-11-27T11:02:12Z,"","SBM Label",0.696,0.675,11,-8.145,1,0.332,0.225,0.00000454,0.196,0.233,167.92,4
spotify:track:5a6pdCHlWS2ekOOQ70QnAr,"July","July","Noah Cyrus",2019-07-31,156106,1,,2020-11-27T11:02:12Z,"","Records/Columbia",0.708,0.186,9,-8.953,0,0.0422,0.868,0,0.0779,0.321,72.541,4
spotify:track:2zJms5D9VSUYjc9y3VJR3q,"Flames (with ZAYN)","Flames (with ZAYN)","R3HAB,ZAYN,Jungleboi",2019-11-15,155526,0,,2020-11-27T11:02:12Z,"slap house,edm","Virgin",0.358,0.644,5,-8.027,0,0.0811,0.154,0,0.0898,0.436,152.085,4
spotify:track:4sqIBV3ukQDqRr8Me2nvQb,"Across The Overpass","The Solids","The Solids",2008-01-24,245626,28,,2020-11-27T11:02:12Z,"","The Solids",0.314,0.469,0,-9.104,1,0.03,0.00569,0.0000838,0.225,0.261,171.546,4
spotify:track:0GZfZOUpFBfArX6F50LXyf,"Żółte flamastry i grube katechetki","100 dni do matury","Mata",2020-01-17,256040,0,,2020-11-27T11:02:12Z,"","SBM Label",0.833,0.491,8,-10.669,1,0.218,0.679,0.0696,0.109,0.259,130.053,4
spotify:track:30bqVoKjX479ab90a8Pafp,"Star Shopping","Star Shopping","Lil Peep",2015,142000,4,,2020-11-27T11:02:12Z,"emo rap,cloud rap","Lil Peep",0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099,4
spotify:track:68RI4I6SKm57SxjG06OYvN,"The Wisp Sings","The Wisp Sings","Winter Aid",2013-11-11,313252,2,,2020-11-27T11:02:12Z,"","Bluestack Records",0.521,0.0889,4,-19.457,1,0.0507,0.988,0.182,0.0965,0.0479,115.43,4
spotify:track:267nfLfaSSDa9ivHncHynh,"Breathe","Take Shelter","Olly Alexander (Years & Years)",2014-01-01,233228,78,,2020-11-27T11:02:12Z,"","Polydor Records",0.746,0.486,10,-7.004,1,0.0344,0.222,0.00000141,0.123,0.417,92.057,4
spotify:track:0e7ipj03S05BNilyu5bRzt,"rockstar (feat. 21 Savage)","beerbongs & bentleys","Post Malone,21 Savage",2018-04-27,218146,84,,2020-11-27T11:02:12Z,"","Republic Records",0.585,0.52,5,-6.136,0,0.0713,0.124,0.0000775,0.131,0.129,159.798,4
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,84,,2020-11-27T11:02:12Z,"folk-pop","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
spotify:track:1QHzf28GKB4xblsVPS6LPs,"Forever","Love Is Dead","CHVRCHES",2018-05-25,224459,48,,2020-11-27T11:02:12Z,"synthpop","Vertigo Berlin",0.428,0.784,5,-3.973,1,0.0381,0.000547,0,0.276,0.307,152.026,4
spotify:track:7vTVZ24ooXRYYv3Fw0Lvh2,"Scandal","Scandal","Mr. X",2015-03-10,192052,20,,2020-11-27T11:02:12Z,"","Mr. X Production",0.596,0.494,11,-5.307,0,0.0296,0.335,0.0000494,0.302,0.321,124.881,4
spotify:track:0XthAWvbDoOunjDceV6Jq2,"VOGUE","Opowieści z Doliny Smoków","Bedoes 2115,Lanek",2019-11-29,218133,1,,2020-11-27T11:02:12Z,"","SBM Label",0.782,0.569,2,-8.074,1,0.0772,0.0711,0.0214,0.143,0.455,118.033,4
spotify:track:5IUOU5xkzGHsRFOYNu3GSK,"No Judgement","No Judgement","Niall Horan",2020-02-07,176283,50,,2020-11-27T11:02:12Z,"","Capitol Records",0.723,0.726,1,-3.835,0,0.0473,0.0564,0.000129,0.057,0.962,100.051,4
spotify:track:0pdKRp2sUthTPe7RLWpPqQ,"You're Somebody Else","You're Somebody Else","flora cash",2018-06-19,218883,70,,2020-11-27T11:02:12Z,"","Bee & El/RCA Records",0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,4
spotify:track:1Xca9HfuG65IL3ogdnNfTv,"Love Like Ghosts","Strange Trails","Lord Huron",2015-04-06,224061,63,,2020-11-27T11:02:12Z,"","Play It Again Sam",0.478,0.549,9,-7.227,1,0.0273,0.768,0.00127,0.123,0.182,137.065,4
spotify:track:7BF6s1W1W9filnjQkNYasL,"Wschód (lubię zapierdalać)","Opowieści z Doliny Smoków","Bedoes 2115,Lanek,Kosa,White 2115",2019-11-29,248986,1,,2020-11-27T11:02:12Z,"witch house","SBM Label",0.612,0.683,1,-8.514,1,0.21,0.257,0.0000121,0.626,0.47,143.098,4
spotify:track:0BO6iWcPj20UGEl224pHWA,"Good Girls","5 Seconds Of Summer","5 Seconds of Summer",2014-06-27,206423,54,,2020-11-27T11:02:12Z,"","Capitol",0.528,0.911,4,-5.203,1,0.0792,0.0152,0,0.121,0.576,141.064,4
spotify:track:2jX6A7yk3mwmOCxmTXrxlm,"Eldorado","Eldorado","Deemz,Bedoes 2115,PlanBe",2017-10-19,243540,1,,2020-11-27T11:02:12Z,"","SBM Label",0.785,0.717,2,-4.911,1,0.24,0.385,0,0.109,0.515,130.121,4
spotify:track:6akBF8JWM8lrpqejdwIfYI,"16 Lines","Come Over When You're Sober, Pt. 2","Lil Peep",2018-11-09,244906,69,,2020-11-27T11:02:12Z,"emo rap,cloud rap","Columbia",0.607,0.45,0,-8.507,1,0.0338,0.0663,0.0000112,0.107,0.121,105.992,4
spotify:track:1AkdKhHcq7qbueXlgUSDRs,"Kold Nights","2119 EP","Bedoes 2115,Lanek",2019-11-29,164207,0,,2020-11-27T11:02:12Z,"","SBM Label",0.577,0.535,8,-8.277,1,0.119,0.023,0,0.0813,0.275,160.245,4
spotify:track:4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,87,,2020-11-27T11:02:12Z,"soft pop","Columbia",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
spotify:track:6qqdFWe7C4LsBjWbXQdsHA,"Dark Paradise","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,243187,74,,2020-11-27T11:02:12Z,"","Polydor Records",0.6,0.653,1,-8.309,0,0.0594,0.0953,0,0.122,0.43,119.994,4
spotify:track:5rFj8OzffT0iggSjcBaeND,"Fire On Fire - From Watership Down","Fire On Fire (From Watership Down)","Sam Smith",2018-12-21,246735,63,,2020-11-27T11:02:12Z,"soft pop","PLG - Capitol",0.584,0.408,1,-7.356,0,0.0461,0.476,0,0.18,0.333,115.129,4
spotify:track:0biUEKHyKAPBDLcrjCUFsu,"Opowieści z Doliny Smoków","Opowieści z Doliny Smoków","Bedoes 2115,Lanek",2019-11-29,198090,0,,2020-11-27T11:02:12Z,"","SBM Label",0.701,0.557,10,-9.406,0,0.278,0.22,0,0.0717,0.253,113.334,4
spotify:track:2fuCquhmrzHpu5xcA1ci9x,"Under Pressure - Remastered 2011","Hot Space (2011 Remaster)","Queen,David Bowie",1982-05-03,248440,84,,2020-11-27T11:02:12Z,"rock klasyczny,rock,glam rock,art rock","EMI",0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,4
