Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7JJshKQ0Wlu6bZwqamulCE,"Me, Myself & I","5SOS5","5 Seconds of Summer",2022-09-23,177879,63,,1970-01-01T00:00:00Z,"","BMG Rights Management (US) LLC",0.575,0.556,4,-5.107,1,0.0283,0.0303,0,0.0903,0.44,87.991,4
spotify:track:6U0D8PIh75fnX6T6TWJLxl,"Jet Black Heart","Sounds Good Feels Good (Deluxe)","5 Seconds of Summer",2015-10-23,221715,59,,1970-01-01T00:00:00Z,"","Capitol",0.506,0.85,11,-4.273,0,0.033,0.000163,0,0.0812,0.545,153.96,4
spotify:track:3TFoEJe5zNuHZStRboWPxg,"People Watching","Superache","Conan Gray",2022-06-24,158536,74,,1970-01-01T00:00:00Z,"","Republic Records",0.53,0.592,5,-7.281,1,0.0534,0.381,0,0.294,0.544,125.721,4
spotify:track:7tqcKt5H9BmBLaT22VHqBX,"COMPLETE MESS","5SOS5","5 Seconds of Summer",2022-09-23,206417,61,,1970-01-01T00:00:00Z,"","BMG Rights Management (US) LLC",0.391,0.514,7,-6.926,1,0.0321,0.0523,0.00000973,0.196,0.126,81.472,4
spotify:track:3sqrvkNC6IPTIXvvbx9Arw,"Enchanted","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,352200,72,,1970-01-01T00:00:00Z,"","Big Machine Records, LLC",0.535,0.618,8,-3.913,1,0.0273,0.0716,0.000388,0.169,0.228,81.975,4
spotify:track:260GY4QuycIf7IFPVrUewf,"Kocham Cię","Piękny ból","Kukon",2018-09-08,187359,51,,1970-01-01T00:00:00Z,"","Soul Records",0.698,0.72,10,-8.828,0,0.246,0.042,0,0.0675,0.361,91.961,4
spotify:track:0iNZGC211wst3VjtobNnC5,"Family Line","Superache","Conan Gray",2022-06-24,216094,77,,1970-01-01T00:00:00Z,"","Republic Records",0.326,0.397,6,-8.145,1,0.0461,0.619,0,0.0979,0.276,153.713,3
spotify:track:0Qc78jjiHk3vIQdHffFyIG,"Easy For You To Say","5SOS5","5 Seconds of Summer",2022-09-23,240031,54,,1970-01-01T00:00:00Z,"","BMG Rights Management (US) LLC",0.527,0.709,7,-6.024,1,0.0374,0.0832,0,0.33,0.359,124.02,4
spotify:track:1CODAIfeSTMzIgBK0S3H5S,"Starting Line","When Facing the Things We Turn Away From","Luke Hemmings",2021-08-13,270380,53,,1970-01-01T00:00:00Z,"","Sony Music Entertainment",0.265,0.797,2,-5.311,1,0.0625,0.094,0.0000179,0.134,0.209,119.508,4
spotify:track:1PtQJZVZIdWIYdARpZRDFO,"Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985-09-16,298933,83,,1970-01-01T00:00:00Z,"art pop,barokowy pop,art rock","Fish People",0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4
spotify:track:0kn2gu8Pd03DiYHzRvX2Xk,"Wish You Were Sober","Kid Krow","Conan Gray",2020-03-20,168880,72,,1970-01-01T00:00:00Z,"","Republic Records",0.701,0.728,2,-5.226,1,0.0468,0.0178,0,0.17,0.696,91.071,4
spotify:track:6o39Ln9118FKTMbM4BvcEy,"Drown","That's The Spirit","Bring Me The Horizon",2015-09-11,222093,75,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post hardcore,metal","RCA Records Label",0.405,0.94,1,-3.103,0,0.0844,0.000102,0.0000279,0.719,0.24,143.126,4
spotify:track:6QcOEPC0bX799hITIgj3vU,"Bad Omens","5SOS5","5 Seconds of Summer",2022-09-23,215734,64,,1970-01-01T00:00:00Z,"","BMG Rights Management (US) LLC",0.493,0.772,1,-6.315,1,0.051,0.0000645,0.0000185,0.0925,0.412,133.973,3
spotify:track:3dSkr1cDkKdSZDYCTrnFKf,"Mum","When Facing the Things We Turn Away From","Luke Hemmings",2021-08-13,230142,51,,1970-01-01T00:00:00Z,"","Sony Music Entertainment",0.331,0.438,3,-6.671,1,0.0338,0.108,0.000129,0.144,0.0641,144.185,4
spotify:track:3YmZVcLHWCjMlHfLaM7nTf,"Pink Slips","Pink Slips","Jenna Doe",2021-07-13,192320,40,,1970-01-01T00:00:00Z,"","jennadoe",0.571,0.619,1,-6.612,0,0.0558,0.186,0.0000777,0.0744,0.152,126.953,4
spotify:track:36tqIaNbeekjJpuMejuxh2,"Ostatnia Nocka - 2014 Remastered","The Best Of Yugopolis (Maleńczuk / Kukiz / Piekarczyk / Muniek I Inni)","Yugopolis,Maciej Maleńczuk",2014-01-01,190560,51,,1970-01-01T00:00:00Z,"disco polo","Universal Music Polska Sp. z o.o.",0.581,0.738,0,-9.694,1,0.0284,0.423,0.0000391,0.242,0.93,160.081,4
spotify:track:1MhXdlCQPnO56T57MfmaRm,"Ghost Of You","Youngblood (Deluxe)","5 Seconds of Summer",2018-06-15,197411,72,,1970-01-01T00:00:00Z,"","Capitol",0.459,0.561,10,-4.819,1,0.0269,0.0965,0,0.156,0.206,149.876,3
