"","Rank","Player","iso_a3"
"52",52,"Maik Kuivenhoven","NLD"
"53",53,"Ron Meulenkamp","NLD"
"54",54,"Rusty-Jake Rodriguez","AUT"
"55",55,"Adam Hunt","GBR"
"56",56,"Jermaine Wattimena","NLD"
"57",57,"Steve Beaton","GBR"
"58",58,"Lewis Williams","WAL"
"59",59,"Raymond Smith","AUS"
"60",60,"Joe Murnan","GBR"
"61",61,"Ryan Meikle","GBR"
"62",62,"Jason Heaver","GBR"
"63",63,"Jason Lowe","GBR"
"64",64,"Chas Barstow","GBR"
"65",65,"Mike De Decker","BEL"
"66",66,"Boris Krcmar","HRV"
"67",67,"Madars Razma","LVA"
"68",68,"Jamie Hughes","GBR"
"69",69,"Bradley Brooks","GBR"
"70",70,"Ted Evetts","GBR"
"71",71,"Fallon Sherrock","GBR"
"72",72,"Jeff Smith","CAN"
"73",73,"Jim Williams","GBR"
"74",74,"Boris Koltsov","RUS"
"75",75,"Andy Boulton","GBR"
"76",76,"John Henderson","GBR"
"77",77,"Gordon Mathers","AUS"
"78",78,"Adam Gawlas","CZE"
"79",79,"Lisa Ashton","GBR"
"80",80,"Nick Kenny","GBR"
"81",81,"Kevin Doets","NLD"
"82",82,"James Wilson","GBR"
"83",83,"Chris Landman","NLD"
"84",84,"Peter Jacques","GBR"
"85",85,"Jelle Klaasen","NLD"
"86",86,"John Michael","GRC"
"87",87,"Alan Tabern","GBR"
"88",88,"Peter Hudson","GBR"
"89",89,"Max Hopp","DEU"
"90",90,"Scott Waites","GBR"
"91",91,"Keegan Brown","GBR"
"92",92,"Karel Sedlacek","CZE"
"93",93,"Krzysztof Kciuk","POL"
"94",94,"Mickey Mansell","GBR"
"95",95,"Matt Campbell","CAN"
"96",96,"Eddie Lovely","USA"
"97",97,"Matthew Edgar","GBR"
"98",98,"Niels Zonneveld","NLD"
"99",99,"Steve Brown","GBR"
"100",100,"Nathan Rafferty","GBR"
"101",101,"Geert De Vos","BEL"
"102",102,"Andy Hamilton","GBR"
"103",103,"Martin Lukeman","GBR"
"104",104,"Darren Webster","GBR"
"105",105,"Kai Fan Leung","HKG"
"106",106,"Ciaran Teehan","IRL"
"107",107,"Robert Thornton","GBR"
"108",108,"Josh Payne","GBR"
"109",109,"Adam Smith-Neale","GBR"
"110",110,"Aaron Beeney","GBR"
"111",111,"Daniel Larsson","SWE"
"112",112,"Danny Baggish","USA"
"113",113,"Martin Atkins","GBR"
"114",114,"Steve West","GBR"
"115",115,"Andrew Gilding","GBR"
"116",116,"Jeffrey De Zwaan","NLD"
"117",117,"Geert Nentjes","NLD"
"118",118,"Luc Peters","NLD"
"119",119,"John Brown","GBR"
"120",120,"Ben Robb","NZL"
"121",120,"Danny Lauby","USA"
"122",120,"Diogo Portela","BRA"
"123",120,"Fabian Schmutzler","DEU"
"124",120,"John Norman Jnr","GBR"
"125",120,"Ky Smith","USA"
"126",120,"Lourence Ilagan","PHL"
"127",120,"Nitin Kumar","IND"
"128",120,"Paul Lim","SGP"
"129",120,"Roman Benecky","SVK"
"130",120,"Royden Lam","HKG"
"131",120,"Toyokazu Shibata","JPN"
"132",120,"Yuki Yamada","JPN"
"133",133,"Ryan Murray","SCO"
"134",134,"Martin Thomas","FRA"
"135",135,"Jesus Noguera","ESP"
"136",136,"Jack Main","GBR"
"137",137,"Jon Worsley","GBR"
"138",138,"Jim McEwan","GBR"
"139",139,"David Evans","GBR"
"140",140,"Berry van Peer","NLD"
"141",141,"Zoran Lerchbacher","AUT"
"142",142,"Wayne Jones","WAL"
"143",143,"Jose Justicia","ESP"
"144",144,"Brett Claydon","GBR"
"145",145,"Derk Telnekes","NLD"
"146",146,"Justin Pipe","GBR"
"147",147,"Kirk Shepherd","GBR"
"148",148,"Joe Davis","GBR"
"149",149,"Gary Blades","GBR"
"150",150,"Michael Rasztovits","AUT"
"151",151,"Gino Vos","NLD"
"152",152,"Gavin Carlin","IRL"
"153",153,"Jake Jones","GBR"
"154",154,"Mark McGeeney","GBR"
"155",155,"Sean Fisher","GBR"
"156",156,"Christian Kist","NLD"
"157",157,"Ryan De Vreede","NLD"
"158",158,"Kevin McDine","GBR"
"159",159,"Lukas Wenig","DEU"
"160",160,"Sebastian Bialecki","POL"
"161",161,"Andreas Harrysson","SWE"
"162",161,"Kenny Neyens","BEL"
"163",163,"Richard Veenstra","NLD"
"164",164,"Benito van de Pas","NLD"
"165",165,"Vincent van der Meer","NLD"
"166",166,"Carl Wilkinson","GBR"
"167",167,"Michael Unterbuchner","DEU"
"168",168,"Harald Leitinger","AUT"
"169",169,"Steffen Siepmann","DEU"
"170",170,"Scott Williams","GBR"
"171",171,"Davy Proosten","BEL"
"172",172,"Craig Galliano","AUS"
"173",172,"Dyson Parody","GIB"
"174",172,"Justin Broton","GBR"
"175",172,"Justin Hewitt","GBR"
"176",172,"Patrik Kovacs","HUN"
"177",177,"Gabor Jagicza","HUN"
"178",177,"Janos Vegso","HUN"
"179",177,"Johan Engstrom","SWE"
"180",177,"Jozsef Rucska","HUN"
"181",177,"Peter Strbik","CZE"
"182",177,"Thomas Lovely","GBR"
"183",183,"Shane McGuirk","IRL"
