"","Rank","Player","iso_a3"
"1",1,"Peter Wright","GBR"
"2",2,"Gerwyn Price","GBR"
"3",3,"Michael Smith","GBR"
"4",4,"James Wade","GBR"
"5",5,"Jonny Clayton","GBR"
"6",6,"Rob Cross","GBR"
"7",7,"Michael van Gerwen","NLD"
"8",8,"Luke Humphries","GBR"
"9",9,"Jose de Sousa","PRT"
"10",10,"Ryan Searle","GBR"
"11",11,"Gary Anderson","GBR"
"12",12,"Krzysztof Ratajski","POL"
"13",13,"Joe Cullen","GBR"
"14",14,"Dimitri Van den Bergh","BEL"
"15",15,"Callan Rydz","GBR"
"16",16,"Nathan Aspinall","GBR"
"17",17,"Brendan Dolan","GBR"
"18",18,"Danny Noppert","NLD"
"19",19,"Mervyn King","GBR"
"20",20,"Gabriel Clemens","DEU"
"21",21,"Damon Heta","AUS"
"22",22,"Dirk van Duijvenbode","NLD"
"23",23,"Dave Chisnall","GBR"
"24",24,"Chris Dobey","GBR"
"25",25,"Ross Smith","GBR"
"26",26,"Stephen Bunting","GBR"
"27",27,"Vincent van der Voort","NLD"
"28",28,"Daryl Gurney","GBR"
"29",29,"Mensur Suljovic","AUT"
"30",30,"Ian White","GBR"
"31",31,"Martijn Kleermaker","NLD"
"32",32,"Alan Soutar","GBR"
"33",33,"Ryan Joyce","GBR"
"34",34,"Kim Huybrechts","BEL"
"35",35,"Simon Whitlock","AUS"
"36",36,"Raymond van Barneveld","NLD"
"37",37,"William O'Connor","IRL"
"38",38,"Devon Petersen","ZAF"
"39",39,"Florian Hempel","DEU"
"40",40,"Darius Labanauskas","LTU"
"41",41,"Rowby-John Rodriguez","AUT"
"42",42,"Adrian Lewis","GBR"
"43",43,"Martin Schindler","DEU"
"44",44,"Ritchie Edhouse","GBR"
"45",45,"Steve Lennon","IRL"
"46",46,"William Borland","GBR"
"47",47,"Luke Woodhouse","GBR"
"48",48,"Keane Barry","IRL"
"49",49,"Glen Durrant","GBR"
"50",50,"Ricky Evans","GBR"
"51",51,"Scott Mitchell","GBR"
