"id_rok","I","II","III","IV","V","VI","VII","VIII","IX","X","XI","XII"
"2019","99,8","100,4","100,3","101,1","100,2","100,3","100,0","100,0","100,0","100,2","100,1","100,8"
"2020","100,9","100,7","100,2","99,9","99,8","100,6","99,8","99,9","100,2","100,1","100,1","100,1"
"2021","101,3","100,5","101,0","100,8","100,3","100,1","100,4","100,3","100,7","101,1","101,0","100,9"
"2022","101,9","99,7","103,3","102,0","101,7","101,5","100,5","100,8","101,6","101,8","100,7","100,1"
"2023","102,5","101,2","101,1","100,7","100,0","100,0","99,8","100,0","99,6","100,3","100,7","100,1"
"2024","100,4","100,3","100,2","101,1","100,1","100,1","101,4","100,1","100,1","100,3","100,5","100,0"
"2025","101,0","100,3","100,2","","","","","","","","",""
