"number","track_name","album_name","album_release_date","danceability","valence","energy","loudness","acousticness","instrumentalness","speechiness","key","tempo","duration_ms","album_short"
1,"Miss Americana & The Heartbreak Prince","Lover",2019-08-23,0.662,0.487,0.747,-6.926,0.028,0.00615,0.0736,11,150.088,234147,"Lover"
2,"Cruel Summer","Lover",2019-08-23,0.552,0.564,0.702,-5.707,0.117,2.06e-05,0.157,9,169.994,178427,"Lover"
3,"The Man","Lover",2019-08-23,0.777,0.633,0.658,-5.191,0.0767,0,0.054,0,110.048,190360,"Lover"
4,"You Need To Calm Down","Lover",2019-08-23,0.771,0.714,0.671,-5.617,0.00929,0,0.0553,2,85.026,171360,"Lover"
5,"Lover","Lover",2019-08-23,0.359,0.453,0.543,-7.582,0.492,1.58e-05,0.0919,7,68.534,221307,"Lover"
6,"Fearless (Taylor’s Version)","Fearless (Taylor's Version)",2021-04-09,0.569,0.43,0.741,-4.963,0.0122,0,0.0282,5,100.118,241592,"Fearless"
7,"You Belong With Me (Taylor’s Version)","Fearless (Taylor's Version)",2021-04-09,0.632,0.474,0.773,-4.856,0.0623,0,0.0346,6,130.033,231124,"Fearless"
8,"Love Story (Taylor’s Version)","Fearless (Taylor's Version)",2021-04-09,0.627,0.415,0.792,-4.311,0.13,3.97e-06,0.031,2,119.054,235767,"Fearless"
9,"22 (Taylor's Version)","Red (Taylor's Version)",2021-11-12,0.642,0.642,0.695,-5.62,0.000443,1.02e-05,0.0281,7,103.984,230960,"Red"
10,"We Are Never Ever Getting Back Together (Taylor's Version)","Red (Taylor's Version)",2021-11-12,0.567,0.716,0.686,-6.139,0.0317,1.86e-06,0.175,7,172.014,193147,"Red"
11,"I Knew You Were Trouble (Taylor's Version)","Red (Taylor's Version)",2021-11-12,0.584,0.767,0.557,-6.371,0.0129,0,0.0342,6,154.008,219760,"Red"
12,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Red (Taylor's Version)",2021-11-12,0.631,0.205,0.518,-8.771,0.274,0,0.0303,0,93.023,613027,"Red"
13,"Enchanted (Taylor's Version)","Speak Now (Taylor's Version)",2023-07-07,0.52,0.227,0.553,-3.546,0.016,0,0.0269,8,81.949,353253,"Speak Now"
14,"...Ready For It?","reputation",2017-11-10,0.613,0.417,0.764,-6.509,0.0527,0,0.136,2,160.015,208187,"Reputation"
15,"Delicate","reputation",2017-11-10,0.75,0.0499,0.404,-10.178,0.216,0.000357,0.0682,9,95.045,232253,"Reputation"
16,"Don’t Blame Me","reputation",2017-11-10,0.615,0.193,0.534,-6.719,0.106,1.76e-05,0.0386,9,135.917,236413,"Reputation"
17,"Look What You Made Me Do","reputation",2017-11-10,0.766,0.506,0.709,-6.471,0.204,1.41e-05,0.123,9,128.07,211853,"Reputation"
18,"cardigan","folklore",2020-07-24,0.613,0.551,0.581,-8.588,0.537,0.000345,0.0424,0,130.033,239560,"Folklore"
19,"betty","folklore",2020-07-24,0.593,0.502,0.377,-8.761,0.6,0,0.0253,0,95.939,294521,"Folklore"
20,"champagne problems","evermore",2020-12-11,0.462,0.32,0.24,-12.077,0.92,0,0.0377,0,171.319,244000,"Evermore"
