"number","track_name","album_name","album_release_date","danceability","valence","energy","loudness","acousticness","instrumentalness","speechiness","key","tempo","duration_ms","album_short"
21,"august","folklore",2020-07-24,0.532,0.403,0.623,-9.208,0.538,7.28e-05,0.0331,5,89.937,261923,"Folklore"
22,"illicit affairs","folklore",2020-07-24,0.559,0.46,0.31,-10.445,0.881,0,0.0338,10,119.845,190898,"Folklore"
23,"my tears ricochet","folklore",2020-07-24,0.469,0.112,0.263,-10.63,0.806,0,0.0329,0,129.86,255894,"Folklore"
24,"marjorie","evermore",2020-12-11,0.535,0.287,0.561,-11.609,0.876,0.000136,0.0484,5,96.103,257773,"Evermore"
25,"willow","evermore",2020-12-11,0.392,0.529,0.574,-9.195,0.833,0.00179,0.17,7,81.112,214707,"Evermore"
26,"Style (Taylor's Version)","1989 (Taylor's Version)",2023-10-27,0.514,0.298,0.821,-4.803,0.000456,0.0232,0.0444,7,94.884,231000,"1989"
27,"Blank Space (Taylor's Version)","1989 (Taylor's Version)",2023-10-27,0.732,0.71,0.719,-5.469,0.0901,0,0.0645,0,96.035,231833,"1989"
28,"Shake It Off (Taylor's Version)","1989 (Taylor's Version)",2023-10-27,0.632,0.903,0.805,-5.707,0.0112,2.51e-05,0.069,7,160.052,219209,"1989"
29,"Wildest Dreams (Taylor's Version)","1989 (Taylor's Version)",2023-10-27,0.587,0.539,0.663,-7.439,0.0348,9.95e-05,0.0598,8,139.993,220433,"1989"
30,"Bad Blood (Taylor's Version)","1989 (Taylor's Version)",2023-10-27,0.624,0.347,0.711,-6.347,0.0369,3.13e-06,0.159,7,169.999,211104,"1989"
31,"But Daddy I Love Him","THE TORTURED POETS DEPARTMENT",2024-04-19,0.521,0.438,0.72,-7.684,0.384,0,0.104,4,79.943,340428,"The Tortured Poets Department"
32,"So High School","THE TORTURED POETS DEPARTMENT",2024-04-19,0.366,0.293,0.866,-4.514,0.0274,3.07e-06,0.0466,7,176.07,228800,"The Tortured Poets Department"
33,"Who’s Afraid of Little Old Me?","THE TORTURED POETS DEPARTMENT",2024-04-19,0.606,0.238,0.338,-10.555,0.315,0,0.048,0,119.88,334085,"The Tortured Poets Department"
34,"Down Bad","THE TORTURED POETS DEPARTMENT",2024-04-19,0.541,0.168,0.366,-10.412,0.56,1e-06,0.0748,11,159.707,261228,"The Tortured Poets Department"
35,"Fortnight (feat. Post Malone)","THE TORTURED POETS DEPARTMENT",2024-04-19,0.504,0.281,0.386,-10.976,0.502,1.53e-05,0.0308,11,192.004,228965,"The Tortured Poets Department"
36,"The Smallest Man Who Ever Lived","THE TORTURED POETS DEPARTMENT",2024-04-19,0.426,0.263,0.41,-9.083,0.52,0,0.0581,10,142.377,245542,"The Tortured Poets Department"
37,"I Can Do It With a Broken Heart","THE TORTURED POETS DEPARTMENT",2024-04-19,0.701,0.22,0.751,-8.39,0.123,0,0.0502,0,129.994,218005,"The Tortured Poets Department"
38,"Lavender Haze","Midnights",2022-10-21,0.735,0.0955,0.449,-10.56,0.23,0.00126,0.0883,7,97.05,202396,"Midnights"
39,"Anti-Hero","Midnights",2022-10-21,0.633,0.49,0.648,-6.645,0.121,2.62e-06,0.062,4,96.888,200690,"Midnights"
40,"Midnight Rain","Midnights",2022-10-21,0.604,0.203,0.375,-11.637,0.71,5.87e-05,0.0633,0,137.651,174783,"Midnights"
41,"Vigilante Shit","Midnights",2022-10-21,0.872,0.168,0.267,-10.764,0.166,2.18e-05,0.387,4,79.964,164801,"Midnights"
42,"Bejeweled","Midnights",2022-10-21,0.687,0.443,0.551,-9.202,0.0593,0.000143,0.0787,7,163.994,194166,"Midnights"
43,"Mastermind","Midnights",2022-10-21,0.66,0.137,0.343,-14.132,0.565,0.00134,0.14,4,125.96,191039,"Midnights"
44,"Karma","Midnights",2022-10-21,0.64,0.121,0.619,-7.108,0.062,0,0.065,8,90.008,204852,"Midnights"
