"id_rok","I","II","III","IV","V","VI","VII","VIII","IX","X","XI","XII"
"2019","26486","25175","28119","26477","28400","27268","28006","28212","28752","31156","29348","27865"
"2020","28500","27507","17736","6097","9802","14534","18819","20069","21551","18505","12420","13279"
"2021","13568","14246","15227","13968","18928","21114","23505","24881","24846","26943","25085","22563"
"2022","21391","21240","28416","26937","30500","29826","30559","30791","29544","32695","31255","28986"
"2023","29524","27253","31143","30066","32287","31234","31267","31042","32010","34412","32240","31267"
"2024","31434","31747","33202","34054","36030","33688","34451","34693","33665","36513","34103","33095"
