NAZWA;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
DOLNOSLASKIE;8 304;7 859;8 250;8 180;8 553;8 905;9 388;9 559;9 449;8 913;8 871;8 280;8 841;8 405;8 677;9 323;8 913;8 763;8 310;7 828;7 335;6 239
KUJAWSKO-POMORSKIE;8 932;8 947;8 875;9 149;9 365;9 704;10 400;9 875;9 855;9 209;9 353;8 737;8 861;8 175;8 394;9 035;8 655;8 368;7 916;7 315;6 640;6 076
LUBELSKIE;11 905;12 148;11 642;11 936;11 956;12 128;12 931;12 317;12 356;11 839;11 729;10 910;10 799;10 415;10 531;11 275;10 988;10 418;9 768;8 961;8 261;7 329
LUBUSKIE;3 875;3 698;3 755;3 829;4 015;4 244;4 457;4 413;4 293;4 024;4 020;3 811;3 793;3 357;3 479;3 750;3 309;3 185;3 129;2 846;2 439;2 269
LODZKIE;8 946;8 572;8 734;8 814;9 186;9 283;10 003;9 943;9 791;9 261;9 401;8 853;8 886;8 647;8 806;9 438;9 011;8 653;8 337;7 818;7 091;6 460
MALOPOLSKIE;18 529;17 956;17 841;17 956;17 872;18 729;20 259;19 950;19 992;19 416;19 243;18 726;18 853;18 473;18 914;19 974;20 005;19 393;18 620;17 586;16 307;14 858
MAZOWIECKIE;18 469;17 480;17 654;17 830;18 685;19 700;20 674;21 413;21 767;20 279;20 512;19 924;20 009;19 931;20 219;21 600;20 674;20 378;19 165;18 270;17 199;15 856
OPOLSKIE;4 194;3 959;3 859;4 020;3 943;3 974;4 391;4 418;4 398;4 244;4 378;4 089;4 249;3 978;4 246;4 327;4 064;4 052;3 870;3 564;3 304;3 051
PODKARPACKIE;13 897;13 187;13 121;12 921;12 722;13 049;13 708;13 551;13 414;12 898;12 873;12 430;12 150;11 795;12 206;13 388;13 190;12 583;11 984;11 077;10 416;9 221
PODLASKIE;5 096;4 874;4 717;4 662;4 715;4 696;5 031;4 897;4 795;4 545;4 464;4 234;4 377;4 114;4 295;4 284;4 229;4 028;3 767;3 614;3 396;3 072
POMORSKIE;8 918;8 896;8 928;9 281;9 486;10 109;10 969;10 665;10 648;10 154;10 165;9 690;10 027;9 606;10 043;11 097;10 710;10 642;9 988;9 424;8 495;7 987
SLASKIE;9 269;8 796;8 840;9 023;9 049;9 761;10 523;10 782;11 075;10 726;10 603;10 348;10 459;10 180;10 413;10 976;10 475;10 144;9 604;8 841;8 214;7 062
SWIETOKRZYSKIE;6 979;6 798;6 556;6 777;6 619;7 048;7 406;7 289;7 122;6 695;6 662;6 381;6 328;6 201;6 263;6 445;6 274;6 006;5 652;5 029;4 616;4 252
WARMINSKO-MAZURSKIE;7 109;6 762;6 701;6 750;6 941;7 123;7 352;7 095;7 083;6 689;6 452;6 213;6 374;5 777;5 893;6 109;5 286;5 114;5 150;4 352;4 118;3 499
WIELKOPOLSKIE;15 991;15 819;15 942;16 303;17 194;17 853;19 473;18 711;19 194;18 186;18 098;17 623;18 016;17 707;18 255;19 470;18 634;18 283;17 429;16 512;15 205;13 753
ZACHODNIOPOMORSKIE;5 918;5 738;5 818;5 752;5 943;5 929;6 246;6 282;6 148;5 637;5 721;5 578;5 439;5 156;5 327;5 348;5 047;4 644;4 485;4 155;3 604;3 292
