NAZWA;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
DOLNOSLASKIE;16135;16100;16665;17539;17999;18686;20459;20267;20100;18747;18368;17525;18333;17853;18775;19078;18877;18159;17403;16603;15392;13285
KUJAWSKO-POMORSKIE;11211;11187;11193;11307;11777;12110;12853;13184;12741;11762;11411;11116;11170;11015;11446;11865;11211;10974;10097;9394;8421;7446
LUBELSKIE;8921;9113;9152;9410;9540;9667;10078;10647;10279;9524;9485;8828;9029;9300;9135;9623;9113;8868;8266;7680;6957;6163
LUBUSKIE;5565;5581;6102;6086;6408;6552;6894;7086;6646;6397;6347;5926;5923;6063;6255;6550;6158;5851;5505;5079;4651;4230
LODZKIE;13200;13204;13739;13790;14209;14586;15509;16109;15735;14691;14450;13567;13818;13466;13988;14344;14006;12991;12554;11749;11072;9923
MALOPOLSKIE;13772;13923;14137;14521;14780;15342;16593;17336;17057;16108;15874;15581;15566;16248;17417;18187;17859;17553;16740;15699;14775;13465
MAZOWIECKIE;27941;29120;30712;32153;34102;35440;38040;38428;38989;36979;36769;35476;37130;37525;39367;40250;39811;39199;37554;35668;33050;29047
OPOLSKIE;4258;4188;4345;4476;4517;4519;4786;4862;4765;4442;4561;4138;4344;4311;4388;4756;4532;4441;4081;3721;3484;3126
PODKARPACKIE;7416;7332;7412;7604;7559;7918;8516;8817;8576;8232;8191;7943;7803;7771;8056;8539;8343;8030;7596;6852;6396;5656
PODLASKIE;6169;5918;5975;6347;6330;6500;6914;7305;7133;6610;6697;6385;6652;6711;7078;7770;7561;7314;6790;6498;5754;5208
POMORSKIE;13366;13517;13901;14149;14773;15365;16461;16678;16242;14905;14887;14248;14583;14990;15822;16384;15788;15399;14507;13911;12498;11139
SLASKIE;30065;30360;31294;31740;33409;34097;36471;37078;36739;34077;33962;32481;32261;31431;32329;33995;32121;30364;28547;25895;23383;20579
SWIETOKRZYSKIE;4801;4740;4718;4700;4730;4923;5330;5452;5323;4905;4848;4339;4428;4378;4347;4470;4447;4214;3836;3688;3541;2986
WARMINSKO-MAZURSKIE;7693;7734;7812;8026;8153;8493;8987;9443;8688;8061;7878;7411;7584;7344;7550;8424;8401;7797;6958;6187;5795;4988
WIELKOPOLSKIE;17122;17608;17633;18996;19246;20261;21452;22171;21715;19896;19735;18938;18984;19053;19982;20980;20144;19176;18456;17000;15273;13779
ZACHODNIOPOMORSKIE;9799;9958;10108;10356;10468;11179;11945;11566;11192;10365;10249;9847;10091;9932;10361;10928;10342;9970;9245;8695;8050;7155
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
