godzina;wywo¸ania;pliki;strony
0;2132;917;1163
1;4290;485;3840
2;279;316;1830
3;1937;254;1658
4;1344;306;1073
5;2957;504;2396
6;4621;1000;3561
7;8287;1391;6744
8;5911;1920;3809
9;7429;2887;5152
10;6034;1989;4180
11;3449;2266;1870
12;4637;1802;2714
13;3755;1946;1985
14;4265;2035;2160
15;5861;2637;3101
16;4696;3100;1488
17;3396;2205;1091
18;6609;1523;5105
19;5977;1619;4206
20;3081;1727;1260
21;2932;1648;1138
22;2844;1408;1415
23;2442;894;1471
