COUNTRY;Country;VARIABLE;Variable;YEAR;Year;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
ARM;Armenia;B-V-02_010_22;International transport loaded in the territory of the reporting country;2016;2016;TONNE;Tonnes;3;Thousands;;;10,4;;
ARM;Armenia;B-V-02_010_22;International transport loaded in the territory of the reporting country;2017;2017;TONNE;Tonnes;3;Thousands;;;14,5;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2012;2012;TONNE;Tonnes;3;Thousands;;;870,8;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2013;2013;TONNE;Tonnes;3;Thousands;;;182,9;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2014;2014;TONNE;Tonnes;3;Thousands;;;197,9;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2015;2015;TONNE;Tonnes;3;Thousands;;;91,2;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2016;2016;TONNE;Tonnes;3;Thousands;;;100;;
ARM;Armenia;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2017;2017;TONNE;Tonnes;3;Thousands;;;142,7;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;513;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;641,1;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;726,4;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;479,4;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;675,9;;
ARM;Armenia;B-V-02_110_00;Total goods - Tonne-km  (millions);2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;725,1;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;513;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;641,1;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;726,4;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;479,4;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;675,9;;
ARM;Armenia;B-V-02_110_11;Operated for hire or reward;2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;725,1;;
ARM;Armenia;B-V-02_110_21;National transport in the reporting country;2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;136,1;;
ARM;Armenia;B-V-02_110_21;National transport in the reporting country;2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;135;;
ARM;Armenia;B-V-02_110_21;National transport in the reporting country;2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;133,8;;
ARM;Armenia;B-V-02_110_21;National transport in the reporting country;2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;127,1;;
ARM;Armenia;B-V-02_110_21;National transport in the reporting country;2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;245,5;;
ARM;Armenia;B-V-02_110_21;National transport in the reporting country;2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;244,6;;
ARM;Armenia;B-V-02_110_22;International transport loaded in the territory of the reporting country;2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;210,3;;
ARM;Armenia;B-V-02_110_22;International transport loaded in the territory of the reporting country;2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;209,2;;
ARM;Armenia;B-V-02_110_22;International transport loaded in the territory of the reporting country;2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;27,9;;
ARM;Armenia;B-V-02_110_22;International transport loaded in the territory of the reporting country;2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;40,4;;
ARM;Armenia;B-V-02_110_22;International transport loaded in the territory of the reporting country;2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;24,9;;
ARM;Armenia;B-V-02_110_23;International transport unloaded in the territory of the reporting country;2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;295,8;;
ARM;Armenia;B-V-02_110_23;International transport unloaded in the territory of the reporting country;2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;383,4;;
ARM;Armenia;B-V-02_110_23;International transport unloaded in the territory of the reporting country;2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;324,9;;
ARM;Armenia;B-V-02_110_23;International transport unloaded in the territory of the reporting country;2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;390;;
ARM;Armenia;B-V-02_110_23;International transport unloaded in the territory of the reporting country;2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;455,6;;
ARM;Armenia;B-V-03_010_00;Total goods - tonnes (1 000);2012;2012;TONNE;Tonnes;3;Thousands;;;5669,7;;
ARM;Armenia;B-V-03_010_00;Total goods - tonnes (1 000);2013;2013;TONNE;Tonnes;3;Thousands;;;6122,9;;
ARM;Armenia;B-V-03_010_00;Total goods - tonnes (1 000);2014;2014;TONNE;Tonnes;3;Thousands;;;4134,4;;
ARM;Armenia;B-V-03_010_00;Total goods - tonnes (1 000);2015;2015;TONNE;Tonnes;3;Thousands;;;5035;;
ARM;Armenia;B-V-03_010_00;Total goods - tonnes (1 000);2016;2016;TONNE;Tonnes;3;Thousands;;;14282,6;;
ARM;Armenia;B-V-03_010_00;Total goods - tonnes (1 000);2017;2017;TONNE;Tonnes;3;Thousands;;;21047,7;;
ARM;Armenia;B-V-03_010_11;Operated for hire or reward;2012;2012;TONNE;Tonnes;3;Thousands;;;5669,7;;
ARM;Armenia;B-V-03_010_11;Operated for hire or reward;2013;2013;TONNE;Tonnes;3;Thousands;;;6122,9;;
ARM;Armenia;B-V-03_010_11;Operated for hire or reward;2014;2014;TONNE;Tonnes;3;Thousands;;;4134,4;;
ARM;Armenia;B-V-03_010_11;Operated for hire or reward;2015;2015;TONNE;Tonnes;3;Thousands;;;5035;;
ARM;Armenia;B-V-03_010_11;Operated for hire or reward;2016;2016;TONNE;Tonnes;3;Thousands;;;14282,6;;
ARM;Armenia;B-V-03_010_11;Operated for hire or reward;2017;2017;TONNE;Tonnes;3;Thousands;;;21047,7;;
ARM;Armenia;B-V-03_110_00;Total goods - tonne-km (millions);2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;136,1;;
ARM;Armenia;B-V-03_110_00;Total goods - tonne-km (millions);2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;135;;
ARM;Armenia;B-V-03_110_00;Total goods - tonne-km (millions);2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;133,8;;
ARM;Armenia;B-V-03_110_00;Total goods - tonne-km (millions);2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;127,1;;
ARM;Armenia;B-V-03_110_00;Total goods - tonne-km (millions);2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;245,5;;
ARM;Armenia;B-V-03_110_00;Total goods - tonne-km (millions);2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;244,6;;
ARM;Armenia;B-V-03_110_11;Operated for hire or reward;2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;136,1;;
ARM;Armenia;B-V-03_110_11;Operated for hire or reward;2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;135;;
ARM;Armenia;B-V-03_110_11;Operated for hire or reward;2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;133,8;;
ARM;Armenia;B-V-03_110_11;Operated for hire or reward;2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;127,1;;
ARM;Armenia;B-V-03_110_11;Operated for hire or reward;2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;245,5;;
ARM;Armenia;B-V-03_110_11;Operated for hire or reward;2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;244,6;;
AUT;Austria;B-V-01_010_00;Total passengers - Passenger-km  (millions);2012;2012;PKM;Passenger-kilometres;6;Millions;;;85369;;
AUT;Austria;B-V-01_010_00;Total passengers - Passenger-km  (millions);2013;2013;PKM;Passenger-kilometres;6;Millions;;;86132;;
AUT;Austria;B-V-01_010_00;Total passengers - Passenger-km  (millions);2014;2014;PKM;Passenger-kilometres;6;Millions;;;88690;;
AUT;Austria;B-V-01_010_00;Total passengers - Passenger-km  (millions);2015;2015;PKM;Passenger-kilometres;6;Millions;;;90630;;
AUT;Austria;B-V-01_010_00;Total passengers - Passenger-km  (millions);2016;2016;PKM;Passenger-kilometres;6;Millions;;;93090;;
AUT;Austria;B-V-01_010_00;Total passengers - Passenger-km  (millions);2017;2017;PKM;Passenger-kilometres;6;Millions;;;94757;;
AUT;Austria;B-V-01_010_11;Motorcycles;2012;2012;PKM;Passenger-kilometres;6;Millions;;;1722;;
AUT;Austria;B-V-01_010_11;Motorcycles;2013;2013;PKM;Passenger-kilometres;6;Millions;;;1778;;
AUT;Austria;B-V-01_010_11;Motorcycles;2014;2014;PKM;Passenger-kilometres;6;Millions;;;2328;;
AUT;Austria;B-V-01_010_11;Motorcycles;2015;2015;PKM;Passenger-kilometres;6;Millions;;;2366;;
AUT;Austria;B-V-01_010_11;Motorcycles;2016;2016;PKM;Passenger-kilometres;6;Millions;;;2418;;
AUT;Austria;B-V-01_010_11;Motorcycles;2017;2017;PKM;Passenger-kilometres;6;Millions;;;2467;;
AUT;Austria;B-V-01_010_12;Passenger cars;2012;2012;PKM;Passenger-kilometres;6;Millions;;;74153;;
AUT;Austria;B-V-01_010_12;Passenger cars;2013;2013;PKM;Passenger-kilometres;6;Millions;;;74837;;
AUT;Austria;B-V-01_010_12;Passenger cars;2014;2014;PKM;Passenger-kilometres;6;Millions;;;76594;;
AUT;Austria;B-V-01_010_12;Passenger cars;2015;2015;PKM;Passenger-kilometres;6;Millions;;;78347;;
AUT;Austria;B-V-01_010_12;Passenger cars;2016;2016;PKM;Passenger-kilometres;6;Millions;;;80444;;
AUT;Austria;B-V-01_010_12;Passenger cars;2017;2017;PKM;Passenger-kilometres;6;Millions;;;81795;;
AUT;Austria;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2012;2012;PKM;Passenger-kilometres;6;Millions;;;9494;;
AUT;Austria;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2013;2013;PKM;Passenger-kilometres;6;Millions;;;9517;;
AUT;Austria;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2014;2014;PKM;Passenger-kilometres;6;Millions;;;9768;;
AUT;Austria;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2015;2015;PKM;Passenger-kilometres;6;Millions;;;9917;;
AUT;Austria;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2016;2016;PKM;Passenger-kilometres;6;Millions;;;10227;;
AUT;Austria;B-V-01_010_13;"""Motor coaches, mini coaches, buses, mini buses and trolley buses """;2017;2017;PKM;Passenger-kilometres;6;Millions;;;10495;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2010;2010;TONNE;Tonnes;3;Thousands;;;330988;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2011;2011;TONNE;Tonnes;3;Thousands;;;344694;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2012;2012;TONNE;Tonnes;3;Thousands;;;333912;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2013;2013;TONNE;Tonnes;3;Thousands;;;325428;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2014;2014;TONNE;Tonnes;3;Thousands;;;349488;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2015;2015;TONNE;Tonnes;3;Thousands;;;350992;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2016;2016;TONNE;Tonnes;3;Thousands;;;376326;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2017;2017;TONNE;Tonnes;3;Thousands;;;386860;;
AUT;Austria;B-V-02_010_00;Total goods - tonnes (1 000);2018;2018;TONNE;Tonnes;3;Thousands;;;393315;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2010;2010;TONNE;Tonnes;3;Thousands;;;185392;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2011;2011;TONNE;Tonnes;3;Thousands;;;195317;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2012;2012;TONNE;Tonnes;3;Thousands;;;189153;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2013;2013;TONNE;Tonnes;3;Thousands;;;181070;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2014;2014;TONNE;Tonnes;3;Thousands;;;194683;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2015;2015;TONNE;Tonnes;3;Thousands;;;193295;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2016;2016;TONNE;Tonnes;3;Thousands;;;207683;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2017;2017;TONNE;Tonnes;3;Thousands;;;212190;;
AUT;Austria;B-V-02_010_11;Operated for hire or reward;2018;2018;TONNE;Tonnes;3;Thousands;;;218000;;
AUT;Austria;B-V-02_010_12;Operated for own account;2010;2010;TONNE;Tonnes;3;Thousands;;;145596;;
AUT;Austria;B-V-02_010_12;Operated for own account;2011;2011;TONNE;Tonnes;3;Thousands;;;149377;;
AUT;Austria;B-V-02_010_12;Operated for own account;2012;2012;TONNE;Tonnes;3;Thousands;;;144759;;
AUT;Austria;B-V-02_010_12;Operated for own account;2013;2013;TONNE;Tonnes;3;Thousands;;;144359;;
AUT;Austria;B-V-02_010_12;Operated for own account;2014;2014;TONNE;Tonnes;3;Thousands;;;154805;;
AUT;Austria;B-V-02_010_12;Operated for own account;2015;2015;TONNE;Tonnes;3;Thousands;;;157697;;
AUT;Austria;B-V-02_010_12;Operated for own account;2016;2016;TONNE;Tonnes;3;Thousands;;;168643;;
AUT;Austria;B-V-02_010_12;Operated for own account;2017;2017;TONNE;Tonnes;3;Thousands;;;174670;;
AUT;Austria;B-V-02_010_12;Operated for own account;2018;2018;TONNE;Tonnes;3;Thousands;;;175315;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2010;2010;TONNE;Tonnes;3;Thousands;;;299944;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2011;2011;TONNE;Tonnes;3;Thousands;;;313098;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2012;2012;TONNE;Tonnes;3;Thousands;;;305347;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2013;2013;TONNE;Tonnes;3;Thousands;;;300211;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2014;2014;TONNE;Tonnes;3;Thousands;;;323221;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2015;2015;TONNE;Tonnes;3;Thousands;;;325616;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2016;2016;TONNE;Tonnes;3;Thousands;;;350209;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2017;2017;TONNE;Tonnes;3;Thousands;;;360300;;
AUT;Austria;B-V-02_010_21;National transport in the reporting country;2018;2018;TONNE;Tonnes;3;Thousands;;;367576;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2010;2010;TONNE;Tonnes;3;Thousands;;;12675;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2011;2011;TONNE;Tonnes;3;Thousands;;;13279;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2012;2012;TONNE;Tonnes;3;Thousands;;;11793;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2013;2013;TONNE;Tonnes;3;Thousands;;;10070;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2014;2014;TONNE;Tonnes;3;Thousands;;;10743;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2015;2015;TONNE;Tonnes;3;Thousands;;;10539;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2016;2016;TONNE;Tonnes;3;Thousands;;;10410;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2017;2017;TONNE;Tonnes;3;Thousands;;;10890;;
AUT;Austria;B-V-02_010_22;International transport loaded in the territory of the reporting country;2018;2018;TONNE;Tonnes;3;Thousands;;;10624;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2010;2010;TONNE;Tonnes;3;Thousands;;;12163;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2011;2011;TONNE;Tonnes;3;Thousands;;;12686;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2012;2012;TONNE;Tonnes;3;Thousands;;;11274;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2013;2013;TONNE;Tonnes;3;Thousands;;;9952;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2014;2014;TONNE;Tonnes;3;Thousands;;;10173;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2015;2015;TONNE;Tonnes;3;Thousands;;;9870;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2016;2016;TONNE;Tonnes;3;Thousands;;;10727;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2017;2017;TONNE;Tonnes;3;Thousands;;;10730;;
AUT;Austria;B-V-02_010_23;International transport unloaded in the territory of the reporting country;2018;2018;TONNE;Tonnes;3;Thousands;;;10336;;
AUT;Austria;B-V-02_010_24;Cross trade transport;2010;2010;TONNE;Tonnes;3;Thousands;;;2070;;
AUT;Austria;B-V-02_010_24;Cross trade transport;2011;2011;TONNE;Tonnes;3;Thousands;;;1804;;
AUT;Austria;B-V-02_010_24;Cross trade transport;2012;2012;TONNE;Tonnes;3;Thousands;;;1568;;
AUT;Austria;B-V-02_010_24;Cross trade transport;2013;2013;TONNE;Tonnes;3;Thousands;;;1492;;
AUT;Austria;B-V-02_010_24;Cross trade transport;2014;2014;TONNE;Tonnes;3;Thousands;;;1662;;
AUT;Austria;B-V-02_010_24;Cross trade transport;2015;2015;TONNE;Tonnes;3;Thousands;;;1702;;
AUT;Austria;B-V-02_010_24;Cross trade transport;2016;2016;TONNE;Tonnes;3;Thousands;;;1519;;
AUT;Austria;B-V-02_010_24;Cross trade transport;2017;2017;TONNE;Tonnes;3;Thousands;;;1180;;
